FULL NAME,NICKNAME,GENDER,DATE OF BIRTH,PHONE NUMBER,PROGRAM SELECTED,BRANCH,CHECKLIST A,CHECKLIST B,CHECKLIST C,CHECKLIST D,CHECKLIST E,ADMISSION STATUS,KETERANGAN PENGUJI 1,KETERANGAN PENGUJI 2,KETERANGAN PENGUJI 3,
Participant 577,Participant 577,Wanita,19/11/1994,85000000577,Music - Drum,Bali,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 582,Participant 582,Pria,04/03/1988,85000000582,Music - Drum,Solo,Yes,Yes,No,Yes,Yes,Yes,,,,
Participant 601,Participant 601,Pria,14/02/2000,85000000601,Music - Drum,Bali,Yes,Yes,Yes,Yes,Yes,No,,,,
Participant 635,Participant 635,Wanita,22/11/2001,85000000635,Music - Drum,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 642,Participant 642,Pria,10/02/1989,85000000642,Music - Drum,Yogyakarta,Yes,Yes,Yes,Yes,No,Yes,,,,
Participant 643,Participant 643,Pria,08/06/2004,85000000643,Music - Drum,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 652,Participant 652,Pria,30/06/1981,85000000652,Music - Drum,Jakarta,Yes,Yes,Yes,No,Yes,Yes,,,,
Participant 683,Participant 683,Pria,11/03/1995,85000000683,Music - Drum,Yogyakarta,Yes,Yes,No,Yes,Yes,No,,,,
Participant 724,Participant 724,Pria,16/01/2003,85000000724,Music - Drum,Bali,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 730,Participant 730,Pria,20/10/1995,85000000730,Music - Drum,Solo ,No,Yes,Yes,No,Yes,Yes,,,,
Participant 735,Participant 735,Pria,20/06/2000,85000000735,Music - Drum,Solo,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 749,Participant 749,Pria,13/10/1996,85000000749,Music - Drum,Solo,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 808,Participant 808,Wanita,03/10/2002,85000000808,Music - Drum,Solo,No,Yes,Yes,Yes,Yes,Yes,,,,
Participant 811,Participant 811,Pria,23/07/1998,85000000811,Music - Drum,Giribelah,No,No,No,Yes,No,No,,,,
Participant 816,Participant 816,Pria,28/03/1987,85000000816,Music - Drum,Bali,Yes,Yes,Yes,Yes,Yes,Yes,,,,
PARTICIPANT 864,PARTICIPANT 864,Pria,23/06/2004,85000000864,Music - Drum,Bali,Yes,Yes,Yes,Yes,No,Yes,,,,
Participant 24,Participant 24,Pria,07/06/1983,85000000024,Music - Drum,Jakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 260,Participant 260,Pria,26/10/1998,85000000260,Music - Drum,Solo,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 27,Participant 27,Pria,05/11/2001,85000000027,Music - Drum,Pekalongan,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 604,Participant 604,Pria,23/06/1977,85000000604,Music - Drum,Solo,Yes,Yes,Yes,No,No,Yes,,,,
Participant 28,Participant 28,Wanita,22/12/1998,85000000028,Music - Guitar,Pekalongan,Yes,Yes,No,No,No,No,,,,
Participant 29,Participant 29,Pria,03/09/1993,85000000029,Music - Guitar,Solo ,Yes,Yes,No,Yes,Yes,No,,,,
Participant 32,Participant 32,Pria,16/04/2001,85000000032,Music - Guitar,Solo,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 33,Participant 33,Wanita,22/02/2002,85000000033,Music - Guitar,Solo,Yes,No,Yes,Yes,Yes,Yes,,,,
Participant 34,Participant 34,Wanita,31/03/1968,85000000034,Music - Guitar,Semarang,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 35,Participant 35,Pria,11/08/1981,85000000035,Music - Guitar,Solo,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 37,Participant 37,Pria,12/08/1999,85000000037,Music - Guitar,Solo,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 104,Participant 104,Pria,10/05/2000,85000000104,Music - Guitar,Wonogiri,No,Yes,Yes,Yes,Yes,Yes,,,,
Participant 112,Participant 112,Pria,05/06/1995,85000000112,Music - Guitar,Surabaya,Yes,No,Yes,Yes,Yes,Yes,,,,
Participant 119,Participant 119,Wanita,18/06/1990,85000000119,Music - Guitar,Nias,Yes,No,Yes,Yes,Yes,No,,,,
Participant 123,Participant 123,Pria,03/01/1993,85000000123,Music - Guitar,Jakarta,Yes,Yes,Yes,Yes,Yes,No,,,,
Participant 141,Participant 141,Pria,30/10/1994,85000000141,Music - Guitar,Solo,Yes,Yes,No,Yes,Yes,Yes,,,,
Participant 170,Participant 170,Pria,16/07/1990,85000000170,Music - Guitar,Madiun,No,Yes,Yes,No,No,Yes,,,,
Participant 190,Participant 190,Pria,06/03/1985,85000000190,Music - Guitar,Nias,Yes,Yes,Yes,Yes,Yes,No,,,,
Participant 208,Participant 208,Wanita,20/03/1996,85000000208,Music - Guitar,Pekalongan,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 241,Participant 241,Pria,10/06/1991,85000000241,Music - Guitar,Tangerang,Yes,Yes,No,No,No,Yes,,,,
Participant 267,Participant 267,Wanita,17/03/2000,85000000267,Music - Guitar,Madiun,Yes,Yes,Yes,Yes,Yes,No,,,,
Participant 280,Participant 280,Pria,16/01/1981,85000000280,Music - Guitar,Surabaya,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 312,Participant 312,Wanita,06/12/1972,85000000312,Music - Guitar,Boyolali,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 314,Participant 314,Pria,12/05/1997,85000000314,Music - Guitar,Solo,Yes,No,Yes,Yes,Yes,Yes,,,,
Participant 324,Participant 324,Pria,18/08/1997,85000000324,Music - Guitar,Samarinda,Yes,No,Yes,Yes,Yes,Yes,,,,
Participant 330,Participant 330,Pria,30/12/1985,85000000330,Music - Guitar,Solo,Yes,Yes,Yes,Yes,Yes,No,,,,
Participant 335,Participant 335,Pria,13/03/2004,85000000335,Music - Guitar,Samarinda,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 341,Participant 341,Pria,24/06/1960,85000000341,Music - Guitar,Solo,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 342,Participant 342,Pria,28/08/1988,85000000342,Music - Guitar,Solo,Yes,Yes,No,No,No,Yes,,,,
Participant 355,Participant 355,Pria,01/07/1995,85000000355,Music - Guitar,Jakarta,Yes,Yes,No,Yes,Yes,No,,,,
Participant 364,Participant 364,Pria,13/06/1982,85000000364,Music - Guitar,Solo,Yes,No,Yes,Yes,Yes,Yes,,,,
Participant 366,Participant 366,Wanita,06/07/2003,85000000366,Music - Guitar,Solo,No,Yes,Yes,Yes,Yes,Yes,,,,
Participant 391,Participant 391,Pria,19/06/2000,85000000391,Music - Guitar,Yogyakarta,Yes,No,Yes,Yes,Yes,Yes,,,,
Participant 392,Participant 392,Pria,20/05/2003,85000000392,Music - Guitar,Solo,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 424,Participant 424,Pria,31/10/2002,85000000424,Music - Guitar,Bali,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 431,Participant 431,Wanita,15/12/2000,85000000431,Music - Guitar,Jakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 457,Participant 457,Pria,06/04/1998,85000000457,Music - Guitar,Solo,Yes,Yes,Yes,Yes,Yes,No,,,,
participant 480,participant 480,Pria,29/03/1987,85000000480,Music - Guitar,Jakarta,Yes,Yes,Yes,Yes,Yes,No,,,,
Participant 490,Participant 490,Pria,11/02/1999,85000000490,Music - Guitar,Solo,Yes,Yes,No,No,No,Yes,,,,
Participant 2527,Participant 2527,Pria,24/11/1988,85000002527,Music - Guitar,Yogyakarta,Yes,Yes,Yes,No,Yes,Yes,,,,
Participant 2534,Participant 2534,Pria,08/12/2000,85000002534,Music - Guitar,Yogyakarta,No,Yes,No,No,Yes,Yes,,,,
participant 2538,participant 2538,Pria,07/04/1990,85000002538,Music - Guitar,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
participant 2540,participant 2540,Pria,19/10/2000,85000002540,Music - Guitar,Yogyakarta,No,Yes,Yes,No,Yes,Yes,,,,
Participant 2552,Participant 2552,Pria,31/12/1982,85000002552,Music - Guitar,Yogyakarta,No,Yes,Yes,No,Yes,Yes,,,,
Participant 2558,Participant 2558,Pria,27/02/1996,85000002558,Music - Guitar,Yogyakarta,No,No,Yes,No,Yes,No,,,,
Participant 505,Participant 505,Pria,07/06/1998,85000000505,Music - Guitar,Solo,Yes,No,Yes,Yes,Yes,No,,,,
Participant 510,Participant 510,Pria,04/11/1991,85000000510,Music - Guitar,Jakarta,Yes,No,Yes,Yes,Yes,Yes,,,,
Participant 518,Participant 518,Pria,27/05/2002,85000000518,Music - Guitar,Solo,Yes,No,Yes,Yes,Yes,Yes,,,,
Participant 551,Participant 551,Pria,20/06/1997,85000000551,Music - Guitar,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 602,Participant 602,Pria,26/05/2003,85000000602,Music - Guitar,Solo,Yes,No,Yes,Yes,Yes,Yes,,,,
PARTICIPANT 619,PARTICIPANT 619,Pria,26/09/1990,85000000619,Music - Guitar,Jakarta,Yes,Yes,No,No,Yes,Yes,,,,
Participant 621,Participant 621,Pria,30/04/2000,85000000621,Music - Guitar,Yogyakarta,Yes,Yes,Yes,Yes,Yes,No,,,,
Participant 627,Participant 627,Pria,01/10/1997,85000000627,Music - Guitar,Solo,Yes,Yes,Yes,Yes,Yes,No,,,,
Participant 629,Participant 629,Pria,02/04/1999,85000000629,Music - Guitar,Bali,No,Yes,Yes,Yes,No,Yes,,,,
Participant 660,Participant 660,Wanita,06/10/1996,85000000660,Music - Guitar,Tangerang,Yes,Yes,Yes,Yes,No,Yes,,,,
Participant 668,Participant 668,Pria,11/12/2003,85000000668,Music - Guitar,Solo,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 697,Participant 697,Pria,03/01/1986,85000000697,Music - Guitar,Bali,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 701,Participant 701,Wanita,06/01/1998,85000000701,Music - Guitar,Purwokerto,No,Yes,Yes,Yes,Yes,Yes,,,,
Participant 702,Participant 702,Pria,01/05/1996,85000000702,Music - Guitar,Jakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 706,Participant 706,Pria,27/11/1997,85000000706,Music - Guitar,Solo,Yes,Yes,No,Yes,Yes,Yes,,,,
Participant 793,Participant 793,Pria,04/03/2000,85000000793,Music - Guitar,Solo,Yes,Yes,No,Yes,Yes,Yes,,,,
Participant 810,Participant 810,Wanita,22/08/1978,85000000810,Music - Guitar,Jakarta,Yes,Yes,Yes,No,No,Yes,,,,
PARTICIPANT 852,PARTICIPANT 852,Pria,24/09/1992,85000000852,Music - Guitar,Bali,Yes,Yes,Yes,No,Yes,Yes,,,,
Participant 214,Participant 214,Pria,22/04/1984,85000000214,Music - Guitar,Nias,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 461,Participant 461,Pria,30/08/1988,85000000461,Music - Guitar,Jakarta,Yes,Yes,Yes,Yes,Yes,No,,,,
Participant 38,Participant 38,Pria,13/11/1996,85000000038,Music - Keyboard,Bandung,No,Yes,Yes,Yes,Yes,Yes,,,,
Participant 39,Participant 39,Pria,17/05/2002,85000000039,Music - Keyboard,Solo,Yes,Yes,Yes,No,No,Yes,,,,
participant 40,participant 40,Pria,01/07/1978,85000000040,Music - Keyboard,Semarang,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 41,Participant 41,Wanita,09/08/2000,85000000041,Music - Keyboard,Semarang,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 42,Participant 42,Pria,11/09/1999,85000000042,Music - Keyboard,Semarang,Yes,No,Yes,Yes,Yes,Yes,,,,
Participant 43,Participant 43,Wanita,10/05/1971,85000000043,Music - Keyboard,Jakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 44,Participant 44,Wanita,27/06/1968,85000000044,Music - Keyboard,Solo,No,Yes,No,Yes,Yes,Yes,,,,
PARTICIPANT 45,PARTICIPANT 45,Pria,01/06/1972,85000000045,Music - Keyboard,Solo,No,Yes,Yes,Yes,Yes,Yes,,,,
Participant 46,Participant 46,Pria,07/06/1986,85000000046,Music - Keyboard,Solo,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 47,Participant 47,Wanita,15/11/2004,85000000047,Music - Keyboard,Madiun,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 48,Participant 48,Wanita,28/01/1998,85000000048,Music - Keyboard,Solo,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 93,Participant 93,Wanita,10/12/2002,85000000093,Music - Keyboard,Solo,Yes,Yes,Yes,No,No,Yes,,,,
Participant 109,Participant 109,Pria,12/01/1992,85000000109,Music - Keyboard,Ngawi,No,Yes,Yes,Yes,Yes,No,,,,
Participant 137,Participant 137,Pria,13/03/1995,85000000137,Music - Keyboard,Solo,No,Yes,Yes,Yes,Yes,Yes,,,,
Participant 163,Participant 163,Pria,19/07/1984,85000000163,Music - Keyboard,Madiun,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 197,Participant 197,Wanita,13/11/1984,85000000197,Music - Keyboard,Jakarta,Yes,Yes,Yes,Yes,Yes,No,,,,
Participant 198,Participant 198,Pria,17/04/1991,85000000198,Music - Keyboard,Nias,No,Yes,Yes,Yes,Yes,Yes,,,,
Participant 199,Participant 199,Pria,08/10/2000,85000000199,Music - Keyboard,Wonogiri,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 203,Participant 203,Pria,20/05/2002,85000000203,Music - Keyboard,Nias,Yes,No,Yes,Yes,Yes,Yes,,,,
Participant 221,Participant 221,Pria,05/10/1985,85000000221,Music - Keyboard,Solo,Yes,No,Yes,Yes,Yes,Yes,,,,
Participant 232,Participant 232,Pria,18/08/1996,85000000232,Music - Keyboard,Tangerang,Yes,Yes,No,Yes,Yes,No,,,,
Participant 271,Participant 271,Pria,12/11/1996,85000000271,Music - Keyboard,Wonosari,Yes,Yes,Yes,Yes,Yes,Yes,,,,
participant 276,participant 276,Pria,28/11/1993,85000000276,Music - Keyboard,Bandung,Yes,Yes,Yes,No,No,Yes,,,,
Participant 282,Participant 282,Pria,28/08/2004,85000000282,Music - Keyboard,Samarinda,Yes,Yes,No,Yes,Yes,Yes,,,,
Participant 283,Participant 283,Pria,23/06/2000,85000000283,Music - Keyboard,Bandung,Yes,Yes,Yes,No,No,Yes,,,,
Participant 294,Participant 294,Pria,09/02/2002,85000000294,Music - Keyboard,Samarinda,No,Yes,Yes,No,No,Yes,,,,
PARTICIPANT 307,PARTICIPANT 307,Wanita,20/05/2004,85000000307,Music - Keyboard,Samarinda,Yes,Yes,Yes,Yes,Yes,Yes,,,,
participant 323,participant 323,Wanita,01/08/1982,85000000323,Music - Keyboard,Solo ,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 345,Participant 345,Pria,16/08/2003,85000000345,Music - Keyboard,Boyolali,No,Yes,No,Yes,Yes,No,,,,
participant 349,participant 349,Wanita,29/02/1984,85000000349,Music - Keyboard,Solo,Yes,Yes,Yes,Yes,Yes,No,,,,
Participant 350,Participant 350,Pria,04/12/2004,85000000350,Music - Keyboard,Boyolali,Yes,Yes,No,Yes,Yes,Yes,,,,
Participant 365,Participant 365,Pria,30/06/1999,85000000365,Music - Keyboard,Yogyakarta,Yes,Yes,Yes,Yes,Yes,No,,,,
Participant 367,Participant 367,Pria,13/01/2000,85000000367,Music - Keyboard,Sragen,No,Yes,Yes,No,No,No,,,,
Participant 386,Participant 386,Wanita,28/01/1998,85000000386,Music - Keyboard,Solo,Yes,Yes,No,Yes,Yes,Yes,,,,
Participant 394,Participant 394,Pria,05/05/2004,85000000394,Music - Keyboard,Boyolali,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 398,Participant 398,Pria,19/06/1980,85000000398,Music - Keyboard,Jakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 406,Participant 406,Wanita,11/03/1999,85000000406,Music - Keyboard,Bali,No,Yes,Yes,Yes,Yes,Yes,,,,
Participant 408,Participant 408,Pria,13/11/1996,85000000408,Music - Keyboard,Bandung,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 410,Participant 410,Pria,22/04/1992,85000000410,Music - Keyboard,Wonogiri,Yes,No,Yes,Yes,Yes,Yes,,,,
Participant 421,Participant 421,Pria,22/09/1988,85000000421,Music - Keyboard,Purwokerto,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 467,Participant 467,Wanita,22/12/2000,85000000467,Music - Keyboard,Bali,No,Yes,Yes,Yes,Yes,No,,,,
Participant 474,Participant 474,Pria,14/11/1998,85000000474,Music - Keyboard,Bali,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 494,Participant 494,Pria,30/03/1981,85000000494,Music - Keyboard,Solo,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 2512,Participant 2512,Pria,02/10/2002,85000002512,Music - Keyboard,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 2519,Participant 2519,Pria,03/08/1994,85000002519,Music - Keyboard,Yogyakarta,Yes,Yes,Yes,No,Yes,Yes,,,,
Participant 2536,Participant 2536,Pria,10/04/1997,85000002536,Music - Keyboard,Yogyakarta,Yes,Yes,No,No,Yes,Yes,,,,
Participant 2541,Participant 2541,Pria,20/08/1997,85000002541,Music - Keyboard,Yogyakarta,Yes,Yes,No,No,Yes,No,,,,
participant 2548,participant 2548,Pria,12/04/1993,85000002548,Music - Keyboard,Yogyakarta,No,No,Yes,No,Yes,Yes,,,,
Participant 2550,Participant 2550,Pria,13/10/1995,85000002550,Music - Keyboard,Yogyakarta,No,Yes,No,No,Yes,Yes,,,,
PARTICIPANT 547,PARTICIPANT 547,Pria,07/06/1997,85000000547,Music - Keyboard,Bali,Yes,Yes,No,Yes,Yes,Yes,,,,
Participant 565,Participant 565,Pria,27/05/1990,85000000565,Music - Keyboard,Jakarta,Yes,Yes,No,Yes,Yes,Yes,,,,
Participant 591,Participant 591,Pria,14/05/1999,85000000591,Music - Keyboard,Bali,Yes,Yes,Yes,Yes,Yes,Yes,,,,
PARTICIPANT 684,PARTICIPANT 684,Wanita,12/07/1965,85000000684,Music - Keyboard,Wonosari,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 745,Participant 745,Pria,11/05/2002,85000000745,Music - Keyboard,Jakarta,Yes,No,Yes,Yes,Yes,Yes,,,,
Participant 754,Participant 754,Pria,22/12/1997,85000000754,Music - Keyboard,Ngawi,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 757,Participant 757,Pria,09/01/2001,85000000757,Music - Keyboard,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 790,Participant 790,Wanita,07/10/1995,85000000790,Music - Keyboard,Bali,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 791,Participant 791,Wanita,29/04/2001,85000000791,Music - Keyboard,Bali,No,Yes,No,Yes,Yes,Yes,,,,
Participant 798,Participant 798,Wanita,28/05/1988,85000000798,Music - Keyboard,Jakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 818,Participant 818,Wanita,28/04/1990,85000000818,Music - Keyboard,Bali,Yes,Yes,No,Yes,Yes,Yes,,,,
Participant 820,Participant 820,Pria,20/03/2002,85000000820,Music - Keyboard,Bali,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 861,Participant 861,Wanita,13/02/1989,85000000861,Music - Keyboard,Nias,No,No,No,Yes,Yes,No,,,,
Participant 866,Participant 866,Pria,07/01/1993,85000000866,Music - Keyboard,Jakarta,Yes,Yes,Yes,No,Yes,Yes,,,,
PARTICIPANT 2485,PARTICIPANT 2485,Wanita,06/08/1997,85000002485,Music - Keyboard,Yogyakarta,No,Yes,No,No,Yes,No,,,,
PARTICIPANT 462,PARTICIPANT 462,Pria,06/12/2003,85000000462,Music - Keyboard,Bali,No,Yes,Yes,Yes,Yes,Yes,,,,
PARTICIPANT 15,PARTICIPANT 15,Wanita,26/04/1972,85000000015,Visual - Makeup,Solo,Yes,No,Yes,Yes,Yes,Yes,,,,
Participant 16,Participant 16,Wanita,18/06/1992,85000000016,Visual - Makeup,Solo,Yes,Yes,No,Yes,Yes,Yes,,,,
Participant 17,Participant 17,Wanita,02/10/1995,85000000017,Visual - Makeup,Solo,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 18,Participant 18,Wanita,16/12/1981,85000000018,Visual - Makeup,Solo,No,No,Yes,No,No,Yes,,,,
Participant 19,Participant 19,Wanita,02/07/1977,85000000019,Visual - Makeup,Jakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 97,Participant 97,Wanita,01/12/1989,85000000097,Visual - Makeup,Solo,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 98,Participant 98,Wanita,15/10/1998,85000000098,Visual - Makeup,Solo,Yes,Yes,No,No,No,Yes,,,,
Participant 99,Participant 99,Wanita,30/10/1985,85000000099,Visual - Makeup,Solo,Yes,Yes,Yes,No,No,No,,,,
Participant 101,Participant 101,Wanita,02/06/1997,85000000101,Visual - Makeup,Solo,Yes,Yes,No,Yes,Yes,Yes,,,,
Participant 125,Participant 125,Wanita,15/04/1994,85000000125,Visual - Makeup,Yogyakarta,Yes,Yes,Yes,No,No,Yes,,,,
Participant 128,Participant 128,Wanita,18/11/2001,85000000128,Visual - Makeup,Solo,Yes,No,Yes,Yes,Yes,Yes,,,,
Participant 133,Participant 133,Wanita,01/09/1996,85000000133,Visual - Makeup,Jakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 157,Participant 157,Wanita,26/11/1999,85000000157,Visual - Makeup,Madiun,Yes,No,Yes,Yes,Yes,Yes,,,,
Participant 175,Participant 175,Wanita,20/11/1959,85000000175,Visual - Makeup,Solo,Yes,No,Yes,Yes,Yes,Yes,,,,
Participant 186,Participant 186,Wanita,08/07/2002,85000000186,Visual - Makeup,Nias,Yes,Yes,Yes,Yes,Yes,No,,,,
Participant 187,Participant 187,Wanita,06/03/1999,85000000187,Visual - Makeup,Nias,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 220,Participant 220,Wanita,02/09/1979,85000000220,Visual - Makeup,Jakarta,Yes,Yes,Yes,Yes,Yes,No,,,,
Participant 223,Participant 223,Wanita,13/06/1967,85000000223,Visual - Makeup,Wonosari,Yes,No,No,No,No,Yes,,,,
PARTICIPANT 289,PARTICIPANT 289,Wanita,28/12/1974,85000000289,Visual - Makeup,Madiun,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 303,Participant 303,Wanita,08/04/1998,85000000303,Visual - Makeup,Samarinda,Yes,No,Yes,Yes,Yes,Yes,,,,
Participant 327,Participant 327,Wanita,17/05/1995,85000000327,Visual - Makeup,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 328,Participant 328,Wanita,30/11/2001,85000000328,Visual - Makeup,Sragen,Yes,Yes,Yes,Yes,Yes,No,,,,
Participant 329,Participant 329,Wanita,20/04/1984,85000000329,Visual - Makeup,Solo ,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 340,Participant 340,Wanita,20/02/1983,85000000340,Visual - Makeup,Samarinda,Yes,Yes,Yes,Yes,Yes,No,,,,
Participant 347,Participant 347,Wanita,12/06/1973,85000000347,Visual - Makeup,Solo,Yes,No,Yes,Yes,Yes,Yes,,,,
Participant 351,Participant 351,Wanita,19/04/2001,85000000351,Visual - Makeup,Solo,Yes,Yes,Yes,Yes,Yes,No,,,,
Participant 423,Participant 423,Wanita,19/02/1996,85000000423,Visual - Makeup,Solo,Yes,Yes,No,Yes,Yes,Yes,,,,
Participant 429,Participant 429,Wanita,29/07/1966,85000000429,Visual - Makeup,Surabaya,Yes,Yes,No,Yes,Yes,Yes,,,,
Participant 434,Participant 434,Wanita,13/12/1976,85000000434,Visual - Makeup,Solo,Yes,No,No,Yes,Yes,No,,,,
Participant 436,Participant 436,Wanita,13/07/2003,85000000436,Visual - Makeup,Bali,Yes,Yes,No,Yes,Yes,No,,,,
Participant 453,Participant 453,Wanita,28/12/1997,85000000453,Visual - Makeup,Solo,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 455,Participant 455,Wanita,14/08/1967,85000000455,Visual - Makeup,Solo,No,Yes,Yes,Yes,Yes,No,,,,
Participant 471,Participant 471,Wanita,27/12/1992,85000000471,Visual - Makeup,Tangerang,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 477,Participant 477,Wanita,17/10/2002,85000000477,Visual - Makeup,Sragen,Yes,No,No,No,No,Yes,,,,
Participant 483,Participant 483,Wanita,20/08/1984,85000000483,Visual - Makeup,Magelang,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 504,Participant 504,Wanita,24/04/1982,85000000504,Visual - Makeup,Nias,No,Yes,Yes,Yes,Yes,Yes,,,,
Participant 507,Participant 507,Wanita,08/03/1995,85000000507,Visual - Makeup,Magelang,No,No,No,No,No,Yes,,,,
Participant 513,Participant 513,Wanita,16/10/2001,85000000513,Visual - Makeup,Bali,Yes,Yes,Yes,Yes,Yes,No,,,,
Participant 522,Participant 522,Wanita,25/08/1998,85000000522,Visual - Makeup,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 561,Participant 561,Wanita,10/12/1977,85000000561,Visual - Makeup,Bali,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 571,Participant 571,Wanita,20/08/1978,85000000571,Visual - Makeup,Bali,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 586,Participant 586,Wanita,17/08/1976,85000000586,Visual - Makeup,Semarang,No,Yes,Yes,Yes,Yes,Yes,,,,
Participant 596,Participant 596,Wanita,16/09/1997,85000000596,Visual - Makeup,Solo,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 600,Participant 600,Wanita,15/12/1996,85000000600,Visual - Makeup,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 612,Participant 612,Wanita,06/05/1979,85000000612,Visual - Makeup,Bali,Yes,Yes,Yes,Yes,Yes,No,,,,
Participant 624,Participant 624,Wanita,25/03/1974,85000000624,Visual - Makeup,Bali,No,Yes,Yes,No,Yes,No,,,,
Participant 653,Participant 653,Wanita,26/06/1995,85000000653,Visual - Makeup,Yogyakarta,Yes,Yes,No,Yes,Yes,Yes,,,,
Participant 656,Participant 656,Wanita,24/03/1984,85000000656,Visual - Makeup,Solo,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 673,Participant 673,Wanita,18/04/1992,85000000673,Visual - Makeup,Bali,Yes,Yes,Yes,Yes,No,No,,,,
Participant 708,Participant 708,Wanita,23/01/1970,85000000708,Visual - Makeup,Magelang,Yes,Yes,No,Yes,Yes,Yes,,,,
Participant 709,Participant 709,Wanita,30/10/1994,85000000709,Visual - Makeup,Solo,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 719,Participant 719,Wanita,28/03/1965,85000000719,Visual - Makeup,Samarinda,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 732,Participant 732,Wanita,02/10/1976,85000000732,Visual - Makeup,Jakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 748,Participant 748,Wanita,02/06/1999,85000000748,Visual - Makeup,Bali,Yes,Yes,Yes,Yes,Yes,No,,,,
Participant 766,Participant 766,Wanita,12/04/1980,85000000766,Visual - Makeup,Jakarta,No,Yes,Yes,Yes,No,No,,,,
