FULL NAME,NICKNAME,GENDER,DATE OF BIRTH,PHONE NUMBER,PROGRAM SELECTED,BRANCH,ADMISSION STATUS,CATATAN WALI KELAS,FINAL GRADE,GRADUATION STATUS,
Participant 1637,Participant 1637,Pria,08/06/1997,85000001637,Music - Guitar,Madiun,Yes,,A,PASSED,
Participant 1714,Participant 1714,Pria,23/08/1979,85000001714,Music - Guitar,Malang,No,,,,
Participant 1722,Participant 1722,Pria,13/06/2000,85000001722,Music - Guitar,Malang,Yes,,B,PASSED,
Participant 1723,Participant 1723,Pria,31/12/2002,85000001723,Music - Guitar,Jakarta (Open Class),Yes,,B,PASSED,
Participant 397,Participant 397,Pria,15/04/1974,85000000397,Music - Guitar,Surabaya,No,,,,
Participant 1743,Participant 1743,Pria,13/06/1970,85000001743,Music - Guitar,Ngawi,Yes,,C,PASSED,
Participant 1760,Participant 1760,Wanita,03/05/1980,85000001760,Music - Guitar,Bali,No,,,,
Participant 1764,Participant 1764,Pria,03/04/1982,85000001764,Music - Guitar,Solo (Open Class),Yes,,C,PASSED,
Participant 1786,Participant 1786,Pria,04/03/1977,85000001786,Music - Guitar,Solo (Open Class),Yes,,C,PASSED,
Participant 2927,Participant 2927,Pria,30/03/1996,85000002927,Music - Guitar,Yogyakarta,Yes,,B,PASSED,
Participant 2934,Participant 2934,Pria,27/12/1998,85000002934,Music - Guitar,Yogyakarta,Yes,,C,PASSED,
Participant 2956,Participant 2956,Pria,14/11/1995,85000002956,Music - Guitar,Yogyakarta,No,,,,
Participant 1819,Participant 1819,Pria,10/06/2006,85000001819,Music - Guitar,Solo (Open Class),Yes,,C,PASSED,
Participant 674,Participant 674,Pria,07/07/2002,85000000674,Music - Guitar,Yogyakarta,Yes,,C,PASSED,
Participant 1044,Participant 1044,Wanita,24/07/1981,85000001044,Music - Keyboard,Jakarta (Open Class),Yes,,B,PASSED,
PARTICIPANT 1197,PARTICIPANT 1197,Pria,09/11/1989,85000001197,Music - Keyboard,Surabaya,Yes,,C,PASSED,
Participant 1377,Participant 1377,Pria,30/10/2001,85000001377,Music - Keyboard,Yogyakarta (Open Class),Yes,,C,PASSED,
Participant 1396,Participant 1396,Wanita,07/03/2004,85000001396,Music - Keyboard,Yogyakarta (Open Class),Yes,,C,PASSED,
Participant 1404,Participant 1404,Pria,30/12/1990,85000001404,Music - Keyboard,Nias,Yes,,B,PASSED,
PARTICIPANT 1413,PARTICIPANT 1413,Pria,13/08/1984,85000001413,Music - Keyboard,Klaten,Yes,,B,PASSED,
Participant 1418,Participant 1418,Pria,05/08/1995,85000001418,Music - Keyboard,Sragen,No,,,,
Participant 1448,Participant 1448,Pria,21/06/2000,85000001448,Music - Keyboard,Nias,Yes,,A,PASSED,
Participant 1465,Participant 1465,Pria,16/01/2005,85000001465,Music - Keyboard,Yogyakarta (Open Class),Yes,,A,PASSED,
Participant 1477,Participant 1477,Wanita,26/03/1996,85000001477,Music - Keyboard,Nias,Yes,,B,PASSED,
Participant 1497,Participant 1497,Wanita,04/01/2000,85000001497,Music - Keyboard,Magelang,Yes,,A,PASSED,
Participant 1505,Participant 1505,Pria,06/12/2000,85000001505,Music - Keyboard,Yogyakarta (Open Class),Yes,,B,PASSED,
Participant 1512,Participant 1512,Pria,30/09/2003,85000001512,Music - Keyboard,Yogyakarta (Open Class),No,,,,
Participant 2879,Participant 2879,Pria,13/06/1999,85000002879,Music - Keyboard,Yogyakarta,Yes,,B,PASSED,
Participant 1534,Participant 1534,Pria,05/08/1981,85000001534,Music - Keyboard,Yogyakarta (Open Class),Yes,,C,PASSED,
Participant 1557,Participant 1557,Pria,02/02/1973,85000001557,Music - Keyboard,Solo  (Open Class),No,,,,
Participant 1582,Participant 1582,Wanita,05/06/2002,85000001582,Music - Keyboard,Solo (Open Class),Yes,,C,PASSED,
Participant 1585,Participant 1585,Pria,04/04/1984,85000001585,Music - Keyboard,Surabaya,No,,,,
Participant 1601,Participant 1601,Pria,02/07/2001,85000001601,Music - Keyboard,Klaten,Yes,,C,PASSED,
Participant 1614,Participant 1614,Wanita,22/11/2005,85000001614,Music - Keyboard,Klaten,Yes,,B,PASSED,
Participant 1618,Participant 1618,Wanita,26/03/1996,85000001618,Music - Keyboard,Klaten,Yes,,C,PASSED,
Participant 1660,Participant 1660,Pria,18/01/2004,85000001660,Music - Keyboard,Ngawi,Yes,,C,PASSED,
Participant 344,Participant 344,Wanita,31/08/1982,85000000344,Music - Keyboard,Solo,No,,,,
Participant 1687,Participant 1687,Wanita,01/08/2004,85000001687,Music - Keyboard,Yogyakarta (Open Class),Yes,,C,PASSED,
Participant 1706,Participant 1706,Wanita,30/08/2003,85000001706,Music - Keyboard,Yogyakarta (Open Class),Yes,,B,PASSED,
Participant 1709,Participant 1709,Pria,30/10/1994,85000001709,Music - Keyboard,Jakarta (Open Class),Yes,,C,PASSED,
Participant 1758,Participant 1758,Pria,07/12/1996,85000001758,Music - Keyboard,Yogyakarta (Open Class),Yes,,C,PASSED,
Participant 1771,Participant 1771,Pria,11/05/1986,85000001771,Music - Keyboard,Magelang,Yes,,C,PASSED,
Participant 1789,Participant 1789,Pria,23/09/2006,85000001789,Music - Keyboard,Solo (Open Class),Yes,,B,PASSED,
Participant 1799,Participant 1799,Pria,23/04/2003,85000001799,Music - Keyboard,Jakarta (Open Class),Yes,,B,PASSED,
participant 1806,participant 1806,Pria,07/11/2002,85000001806,Music - Keyboard,Yogyakarta (Open Class),Yes,,A,PASSED,
Participant 2909,Participant 2909,Wanita,16/09/1994,85000002909,Music - Keyboard,Yogyakarta,No,,,,
Participant 2911,Participant 2911,Wanita,20/03/1998,85000002911,Music - Keyboard,Yogyakarta,Yes,,A,PASSED,
Participant 2912,Participant 2912,Pria,07/03/1997,85000002912,Music - Keyboard,Yogyakarta,Yes,,B,PASSED,
Participant 2919,Participant 2919,Wanita,02/12/2001,85000002919,Music - Keyboard,Yogyakarta,Yes,,A,PASSED,
Participant 2920,Participant 2920,Pria,26/06/1996,85000002920,Music - Keyboard,Yogyakarta,Yes,,B,PASSED,
Participant 2921,Participant 2921,Pria,21/04/2000,85000002921,Music - Keyboard,Yogyakarta,Yes,,B,PASSED,
Participant 2943,Participant 2943,Wanita,04/09/2000,85000002943,Music - Keyboard,Yogyakarta,No,,,,
Participant 2969,Participant 2969,Pria,18/04/2000,85000002969,Music - Keyboard,Yogyakarta,Yes,,C,PASSED,
Participant 1360,Participant 1360,Wanita,15/08/1985,85000001360,Visual - Makeup,Solo (Open Class),Yes,,C,PASSED,
Participant 1397,Participant 1397,Wanita,16/06/2001,85000001397,Visual - Makeup,Solo (Open Class),No,,,,
PARTICIPANT 1452,PARTICIPANT 1452,Wanita,03/06/2005,85000001452,Visual - Makeup,Solo (Open Class),Yes,,C,PASSED,
Participant 1459,Participant 1459,Wanita,07/07/2006,85000001459,Visual - Makeup,Solo (Open Class),No,,,,
Participant 1472,Participant 1472,Wanita,14/05/1988,85000001472,Visual - Makeup,Solo (Open Class),Yes,,B,PASSED,
Participant 1483,Participant 1483,Wanita,25/06/2000,85000001483,Visual - Makeup,Solo (Open Class),Yes,,C,PASSED,
Participant 1485,Participant 1485,Wanita,20/02/1972,85000001485,Visual - Makeup,Yogyakarta (Open Class),Yes,,C,PASSED,
Participant 1538,Participant 1538,Wanita,30/06/1980,85000001538,Visual - Makeup,Yogyakarta (Open Class),Yes,,C,PASSED,
Participant 1556,Participant 1556,Wanita,03/02/1996,85000001556,Visual - Makeup,Jakarta (Open Class),No,,,,
Participant 1647,Participant 1647,Wanita,10/10/1962,85000001647,Visual - Makeup,Solo (Open Class),Yes,,B,PASSED,
Participant 1662,Participant 1662,Wanita,19/02/1995,85000001662,Visual - Makeup,Yogyakarta (Open Class),Yes,,C,PASSED,
Participant 1795,Participant 1795,Wanita,27/09/1995,85000001795,Visual - Makeup,Yogyakarta (Open Class),Yes,,C,PASSED,
Participant 1493,Participant 1493,Wanita,18/05/1980,85000001493,Vocal - Choir,Jakarta (Open Class),Yes,,C,PASSED,
Participant 1370,Participant 1370,Wanita,13/12/1979,85000001370,Vocal - Choir,Solo (Open Class),Yes,,B,PASSED,
Participant 1371,Participant 1371,Wanita,06/09/1974,85000001371,Vocal - Choir,Solo (Open Class),Yes,,B,PASSED,
Participant 2828,Participant 2828,Wanita,07/11/1997,85000002828,Vocal - Choir,Yogyakarta,Yes,,A,PASSED,
Participant 2837,Participant 2837,Wanita,01/02/1988,85000002837,Vocal - Choir,Yogyakarta,Yes,,A,PASSED,
Participant 2841,Participant 2841,Pria,14/05/1994,85000002841,Vocal - Choir,Yogyakarta,No,,,,
Participant 2842,Participant 2842,Pria,20/08/1997,85000002842,Vocal - Choir,Yogyakarta,Yes,,B,PASSED,
PARTICIPANT 2844,PARTICIPANT 2844,Pria,20/04/1999,85000002844,Vocal - Choir,Yogyakarta,Yes,,A,PASSED,
Participant 2845,Participant 2845,Pria,24/01/1997,85000002845,Vocal - Choir,Yogyakarta,Yes,,B,PASSED,
Participant 2847,Participant 2847,Wanita,11/02/2002,85000002847,Vocal - Choir,Yogyakarta,Yes,,B,PASSED,
Participant 2854,Participant 2854,Wanita,27/05/1993,85000002854,Vocal - Choir,Yogyakarta,Yes,,C,PASSED,
PARTICIPANT 1419,PARTICIPANT 1419,Wanita,25/04/1994,85000001419,Vocal - Choir,Yogyakarta (Open Class),No,,,,
Participant 2858,Participant 2858,Wanita,26/02/1997,85000002858,Vocal - Choir,Yogyakarta,Yes,,C,PASSED,
PARTICIPANT 2860,PARTICIPANT 2860,Wanita,09/04/2002,85000002860,Vocal - Choir,Yogyakarta,Yes,,C,PASSED,
Participant 2865,Participant 2865,Pria,18/10/1999,85000002865,Vocal - Choir,Yogyakarta,No,,,,
Participant 2846,Participant 2846,Wanita,12/01/1997,85000002846,Vocal - Choir,Yogyakarta,Yes,,B,PASSED,
participant 2870,participant 2870,Pria,11/12/1995,85000002870,Vocal - Choir,Yogyakarta,No,,,,
Participant 1498,Participant 1498,Wanita,06/03/1987,85000001498,Vocal - Choir,Jakarta (Open Class),Yes,,C,PASSED,
Participant 1503,Participant 1503,Wanita,11/10/1980,85000001503,Vocal - Choir,Solo  (Open Class),Yes,,C,PASSED,
Participant 2876,Participant 2876,Wanita,25/03/1976,85000002876,Vocal - Choir,Yogyakarta,Yes,,C,PASSED,
Participant 2889,Participant 2889,Wanita,12/02/1999,85000002889,Vocal - Choir,Yogyakarta,Yes,,B,PASSED,
participant 2890,participant 2890,Wanita,01/11/1985,85000002890,Vocal - Choir,Yogyakarta,No,,,,
Participant 1546,Participant 1546,Pria,29/08/2002,85000001546,Vocal - Choir,Solo (Open Class),Yes,,C,PASSED,
Participant 1663,Participant 1663,Wanita,02/07/2001,85000001663,Vocal - Choir,Yogyakarta (Open Class),Yes,,C,PASSED,
Participant 1772,Participant 1772,Wanita,18/06/1978,85000001772,Vocal - Choir,Malang,Yes,,C,PASSED,
Participant 1791,Participant 1791,Wanita,10/03/1990,85000001791,Vocal - Choir,Solo (Open Class),Yes,,B,PASSED,
PARTICIPANT 2900,PARTICIPANT 2900,Wanita,15/09/1971,85000002900,Vocal - Choir,Yogyakarta,Yes,,B,PASSED,
PARTICIPANT 2901,PARTICIPANT 2901,Pria,28/02/1970,85000002901,Vocal - Choir,Yogyakarta,Yes,,A,PASSED,
Participant 2904,Participant 2904,Wanita,29/03/1997,85000002904,Vocal - Choir,Yogyakarta,Yes,,A,PASSED,
Participant 2905,Participant 2905,Wanita,02/04/1990,85000002905,Vocal - Choir,Yogyakarta,Yes,,B,PASSED,
Participant 2906,Participant 2906,Wanita,18/08/2000,85000002906,Vocal - Choir,Yogyakarta,No,,,,
Participant 2910,Participant 2910,Wanita,26/06/1997,85000002910,Vocal - Choir,Yogyakarta,Yes,,A,PASSED,
Participant 2926,Participant 2926,Wanita,05/08/1989,85000002926,Vocal - Choir,Yogyakarta,Yes,,B,PASSED,
Participant 2932,Participant 2932,Wanita,20/03/1978,85000002932,Vocal - Choir,Yogyakarta,Yes,,B,PASSED,
Participant 2936,Participant 2936,Wanita,25/09/1971,85000002936,Vocal - Choir,Yogyakarta,Yes,,C,PASSED,
Participant 2938,Participant 2938,Wanita,26/01/1999,85000002938,Vocal - Choir,Yogyakarta,Yes,,C,PASSED,
participant 2941,participant 2941,Wanita,17/12/1977,85000002941,Vocal - Choir,Yogyakarta,No,,,,
Participant 2945,Participant 2945,Wanita,03/09/1987,85000002945,Vocal - Choir,Yogyakarta,Yes,,C,PASSED,
Participant 2947,Participant 2947,Wanita,11/11/1996,85000002947,Vocal - Choir,Yogyakarta,Yes,,B,PASSED,
Participant 2949,Participant 2949,Pria,30/08/1994,85000002949,Vocal - Choir,Yogyakarta,No,,,,
Participant 2951,Participant 2951,Wanita,07/02/1997,85000002951,Vocal - Choir,Yogyakarta,Yes,,C,PASSED,
Participant 2957,Participant 2957,Wanita,10/02/1999,85000002957,Vocal - Choir,Yogyakarta,No,,,,
Participant 2958,Participant 2958,Wanita,18/12/1997,85000002958,Vocal - Choir,Yogyakarta,Yes,,C,PASSED,
Participant 2959,Participant 2959,Wanita,13/03/1996,85000002959,Vocal - Choir,Yogyakarta,Yes,,C,PASSED,
PARTICIPANT 2961,PARTICIPANT 2961,Wanita,22/03/2000,85000002961,Vocal - Choir,Yogyakarta,Yes,,B,PASSED,
PARTICIPANT 2964,PARTICIPANT 2964,Pria,09/09/2002,85000002964,Vocal - Choir,Yogyakarta,Yes,,C,PASSED,
Participant 2967,Participant 2967,Pria,30/04/1987,85000002967,Vocal - Choir,Yogyakarta,No,,,,
PARTICIPANT 2968,PARTICIPANT 2968,Wanita,12/10/1982,85000002968,Vocal - Choir,Yogyakarta,Yes,,C,PASSED,
Participant 1188,Participant 1188,Wanita,26/02/1985,85000001188,Vocal - Lead,Solo (Open Class),Yes,,C,PASSED,
Participant 1310,Participant 1310,Wanita,02/01/1971,85000001310,Vocal - Lead,Madiun,Yes,,B,PASSED,
PARTICIPANT 251,PARTICIPANT 251,Wanita,19/08/1989,85000000251,Vocal - Lead,Madiun,Yes,,B,PASSED,
Participant 256,Participant 256,Wanita,18/09/1979,85000000256,Vocal - Lead,Pekalongan,Yes,,A,PASSED,
Participant 2821,Participant 2821,Wanita,21/09/1993,85000002821,Vocal - Lead,Yogyakarta,Yes,,A,PASSED,
Participant 2832,Participant 2832,Wanita,13/06/1995,85000002832,Vocal - Lead,Yogyakarta,Yes,,B,PASSED,
Participant 1387,Participant 1387,Wanita,26/03/1999,85000001387,Vocal - Lead,Yogyakarta (Open Class),Yes,,A,PASSED,
Participant 1389,Participant 1389,Wanita,06/12/2000,85000001389,Vocal - Lead,Yogyakarta (Open Class),No,,,,
Participant 1390,Participant 1390,Wanita,01/10/1998,85000001390,Vocal - Lead,Yogyakarta (Open Class),Yes,,B,PASSED,
PARTICIPANT 1391,PARTICIPANT 1391,Wanita,21/07/1998,85000001391,Vocal - Lead,Yogyakarta (Open Class),Yes,,B,PASSED,
Participant 1392,Participant 1392,Wanita,24/02/2000,85000001392,Vocal - Lead,Yogyakarta (Open Class),Yes,,C,PASSED,
PARTICIPANT 1400,PARTICIPANT 1400,Wanita,06/09/1981,85000001400,Vocal - Lead,Solo (Open Class),Yes,,C,PASSED,
Participant 1409,Participant 1409,Wanita,24/04/1986,85000001409,Vocal - Lead,Madiun,Yes,,C,PASSED,
Participant 2848,Participant 2848,Wanita,17/11/1999,85000002848,Vocal - Lead,Yogyakarta,No,,,,
Participant 2852,Participant 2852,Wanita,07/05/1969,85000002852,Vocal - Lead,Yogyakarta,Yes,,B,PASSED,
Participant 1431,Participant 1431,Wanita,14/01/1999,85000001431,Vocal - Lead,Nias,Yes,,C,PASSED,
PARTICIPANT 1433,PARTICIPANT 1433,Wanita,06/10/1996,85000001433,Vocal - Lead,Nias,No,,,,
Participant 284,Participant 284,Pria,29/06/1991,85000000284,Vocal - Lead,Madiun,Yes,,C,PASSED,
Participant 1474,Participant 1474,Pria,28/05/1992,85000001474,Vocal - Lead,Nias,No,,,,
Participant 1492,Participant 1492,Wanita,07/07/1979,85000001492,Vocal - Lead,Yogyakarta (Open Class),Yes,,C,PASSED,
PARTICIPANT 1502,PARTICIPANT 1502,Pria,02/12/2001,85000001502,Vocal - Lead,Solo (Open Class),Yes,,B,PASSED,
Participant 1510,Participant 1510,Wanita,03/04/1975,85000001510,Vocal - Lead,Solo (Open Class),Yes,,C,PASSED,
PARTICIPANT 2872,PARTICIPANT 2872,Wanita,07/12/1993,85000002872,Vocal - Lead,Yogyakarta,Yes,,C,PASSED,
Participant 1521,Participant 1521,Pria,02/02/2003,85000001521,Vocal - Lead,Jakarta (Open Class),No,,,,
Participant 1522,Participant 1522,Pria,16/09/2001,85000001522,Vocal - Lead,Jakarta (Open Class),Yes,,C,PASSED,
PARTICIPANT 1562,PARTICIPANT 1562,Wanita,28/05/1976,85000001562,Vocal - Lead,Madiun,Yes,,B,PASSED,
Participant 1641,Participant 1641,Wanita,27/04/1995,85000001641,Vocal - Lead,Solo (Open Class),Yes,,B,PASSED,
Participant 1646,Participant 1646,Wanita,20/09/1969,85000001646,Vocal - Lead,Solo (Open Class),Yes,,A,PASSED,
Participant 1649,Participant 1649,Pria,06/11/1981,85000001649,Vocal - Lead,Yogyakarta (Open Class),Yes,,A,PASSED,
Participant 1650,Participant 1650,Pria,14/06/1994,85000001650,Vocal - Lead,Yogyakarta (Open Class),Yes,,B,PASSED,
Participant 1651,Participant 1651,Pria,19/07/1978,85000001651,Vocal - Lead,Yogyakarta (Open Class),Yes,,A,PASSED,
Participant 1667,Participant 1667,Wanita,02/08/1986,85000001667,Vocal - Lead,Semarang,Yes,,B,PASSED,
Participant 1679,Participant 1679,Wanita,26/09/2004,85000001679,Vocal - Lead,Yogyakarta (Open Class),No,,,,
Participant 1693,Participant 1693,Wanita,29/11/2001,85000001693,Vocal - Lead,Yogyakarta (Open Class),Yes,,B,PASSED,
Participant 1701,Participant 1701,Wanita,16/08/1972,85000001701,Vocal - Lead,Solo (Open Class),Yes,,C,PASSED,
Participant 1732,Participant 1732,Wanita,31/01/1992,85000001732,Vocal - Lead,Yogyakarta (Open Class),Yes,,C,PASSED,
Participant 1775,Participant 1775,Pria,16/11/1972,85000001775,Vocal - Lead,Solo (Open Class),Yes,,C,PASSED,
Participant 2893,Participant 2893,Wanita,30/08/1995,85000002893,Vocal - Lead,Yogyakarta,Yes,,B,PASSED,
Participant 2894,Participant 2894,Pria,27/10/1978,85000002894,Vocal - Lead,Yogyakarta,No,,,,
Participant 2908,Participant 2908,Wanita,11/03/1990,85000002908,Vocal - Lead,Yogyakarta,Yes,,C,PASSED,
Participant 2963,Participant 2963,Wanita,27/01/1999,85000002963,Vocal - Lead,Yogyakarta,Yes,,C,PASSED,
Participant 639,Participant 639,Wanita,25/12/2003,85000000639,Vocal - Lead,Semarang,No,,,,
Participant 878,Participant 878,Wanita,21/09/1988,85000000878,Vocal - Lead,Solo (Open Class),Yes,,C,PASSED,
Participant 1038,Participant 1038,Wanita,05/09/2002,85000001038,Vocal - Singer,Solo (Open Class),No,,,,
Participant 1098,Participant 1098,Pria,23/01/1981,85000001098,Vocal - Singer,Solo (Open Class),Yes,,B,PASSED,
Participant 1253,Participant 1253,Wanita,17/06/1986,85000001253,Vocal - Singer,Solo (Open Class),Yes,,C,PASSED,
participant 1260,participant 1260,Pria,05/01/1983,85000001260,Vocal - Singer,Solo (Open Class),Yes,,C,PASSED,
Participant 1269,Participant 1269,Wanita,18/03/1997,85000001269,Vocal - Singer,Surabaya,Yes,,C,PASSED,
Participant 1343,Participant 1343,Wanita,19/07/2000,85000001343,Vocal - Singer,Solo (Open Class),No,,,,
Participant 1369,Participant 1369,Wanita,05/04/1998,85000001369,Vocal - Singer,Yogyakarta (Open Class),Yes,,B,PASSED,
Participant 156,Participant 156,Wanita,26/09/1989,85000000156,Vocal - Singer,Madiun,Yes,,B,PASSED,
Participant 162,Participant 162,Wanita,09/10/1977,85000000162,Vocal - Singer,Madiun,Yes,,A,PASSED,
Participant 1778,Participant 1778,Pria,20/06/1982,85000001778,Vocal - Singer,Semarang,Yes,,A,PASSED,
Participant 238,Participant 238,Wanita,09/01/1999,85000000238,Vocal - Singer,Tangerang,Yes,,B,PASSED,
Participant 2820,Participant 2820,Wanita,03/01/1987,85000002820,Vocal - Singer,Yogyakarta,Yes,,A,PASSED,
participant 2823,participant 2823,Wanita,01/01/1986,85000002823,Vocal - Singer,Yogyakarta,Yes,,B,PASSED,
Participant 2830,Participant 2830,Wanita,10/05/1997,85000002830,Vocal - Singer,Yogyakarta,Yes,,B,PASSED,
Participant 2831,Participant 2831,Wanita,17/02/1999,85000002831,Vocal - Singer,Yogyakarta,No,,,,
Participant 2836,Participant 2836,Pria,25/01/1998,85000002836,Vocal - Singer,Yogyakarta,Yes,,C,PASSED,
Participant 1376,Participant 1376,Wanita,11/12/2000,85000001376,Vocal - Singer,Yogyakarta (Open Class),Yes,,C,PASSED,
PARTICIPANT 2712,PARTICIPANT 2712,Wanita,03/12/1995,85000002712,Vocal - Singer,Yogyakarta,Yes,,C,PASSED,
Participant 1378,Participant 1378,Pria,20/02/2000,85000001378,Vocal - Singer,Yogyakarta (Open Class),Yes,,B,PASSED,
Participant 1381,Participant 1381,Wanita,23/01/1992,85000001381,Vocal - Singer,Yogyakarta (Open Class),Yes,,C,PASSED,
Participant 1383,Participant 1383,Wanita,15/10/1984,85000001383,Vocal - Singer,Samarinda,No,,,,
Participant 1384,Participant 1384,Wanita,17/11/2003,85000001384,Vocal - Singer,Yogyakarta (Open Class),Yes,,C,PASSED,
Participant 1385,Participant 1385,Pria,03/03/1991,85000001385,Vocal - Singer,Solo (Open Class),Yes,,C,PASSED,
Participant 1393,Participant 1393,Wanita,14/03/1986,85000001393,Vocal - Singer,Pekalongan,No,,,,
Participant 1395,Participant 1395,Wanita,21/03/2001,85000001395,Vocal - Singer,Jakarta (Open Class),Yes,,B,PASSED,
PARTICIPANT 1401,PARTICIPANT 1401,Pria,05/07/1993,85000001401,Vocal - Singer,Yogyakarta (Open Class),No,,,,
Participant 1405,Participant 1405,Pria,11/02/2002,85000001405,Vocal - Singer,Solo (Open Class),Yes,,C,PASSED,
Participant 1406,Participant 1406,Wanita,24/02/1997,85000001406,Vocal - Singer,Solo (Open Class),Yes,,C,PASSED,
Participant 1410,Participant 1410,Pria,17/12/2000,85000001410,Vocal - Singer,Pekalongan,Yes,,C,PASSED,
Participant 1411,Participant 1411,Wanita,18/05/1988,85000001411,Vocal - Singer,Semarang,Yes,,B,PASSED,
Participant 1414,Participant 1414,Wanita,17/01/1981,85000001414,Vocal - Singer,Nias,No,,,,
Participant 2759,Participant 2759,Pria,04/05/1998,85000002759,Vocal - Singer,Yogyakarta,Yes,,B,PASSED,
Participant 1416,Participant 1416,Pria,01/01/1977,85000001416,Vocal - Singer,Solo (Open Class),Yes,,A,PASSED,
Participant 1421,Participant 1421,Pria,29/10/2000,85000001421,Vocal - Singer,Solo (Open Class),Yes,,A,PASSED,
Participant 1426,Participant 1426,Pria,20/09/1997,85000001426,Vocal - Singer,Jakarta (Open Class),Yes,,B,PASSED,
Participant 1427,Participant 1427,Wanita,11/11/1977,85000001427,Vocal - Singer,Nias,Yes,,A,PASSED,
Participant 1428,Participant 1428,Pria,19/08/1992,85000001428,Vocal - Singer,Solo (Open Class),Yes,,B,PASSED,
Participant 1437,Participant 1437,Wanita,30/04/1993,85000001437,Vocal - Singer,Nias,Yes,,B,PASSED,
Participant 1451,Participant 1451,Wanita,05/11/1997,85000001451,Vocal - Singer,Jakarta (Open Class),Yes,,C,PASSED,
Participant 1463,Participant 1463,Wanita,12/10/1999,85000001463,Vocal - Singer,Solo (Open Class),No,,,,
Participant 1470,Participant 1470,Pria,02/12/2001,85000001470,Vocal - Singer,Solo (Open Class),Yes,,C,PASSED,
Participant 1471,Participant 1471,Pria,13/04/1976,85000001471,Vocal - Singer,Jakarta (Open Class),Yes,,C,PASSED,
participant 1478,participant 1478,Pria,08/05/1978,85000001478,Vocal - Singer,Jakarta (Open Class),Yes,,B,PASSED,
Participant 1479,Participant 1479,Pria,21/12/1993,85000001479,Vocal - Singer,Solo (Open Class),Yes,,C,PASSED,
Participant 1480,Participant 1480,Pria,14/01/2005,85000001480,Vocal - Singer,Nias,Yes,,C,PASSED,
Participant 1486,Participant 1486,Wanita,02/11/2004,85000001486,Vocal - Singer,Jakarta (Open Class),No,,,,
Participant 1487,Participant 1487,Pria,02/12/2001,85000001487,Vocal - Singer,Solo (Open Class),Yes,,C,PASSED,
Participant 1490,Participant 1490,Wanita,21/03/1987,85000001490,Vocal - Singer,Nias,Yes,,B,PASSED,
Participant 1495,Participant 1495,Pria,16/11/1988,85000001495,Vocal - Singer,Solo (Open Class),No,,,,
Participant 1496,Participant 1496,Wanita,20/12/1989,85000001496,Vocal - Singer,Wonogiri,Yes,,C,PASSED,
Participant 1504,Participant 1504,Wanita,22/08/2000,85000001504,Vocal - Singer,Yogyakarta (Open Class),No,,,,
Participant 1507,Participant 1507,Wanita,15/04/1998,85000001507,Vocal - Singer,Magelang,Yes,,C,PASSED,
Participant 1509,Participant 1509,Pria,22/08/2000,85000001509,Vocal - Singer,Yogyakarta (Open Class),Yes,,C,PASSED,
Participant 1518,Participant 1518,Wanita,07/04/1999,85000001518,Vocal - Singer,Jakarta (Open Class),Yes,,B,PASSED,
Participant 1523,Participant 1523,Wanita,21/07/2000,85000001523,Vocal - Singer,Yogyakarta (Open Class),Yes,,B,PASSED,
Participant 1526,Participant 1526,Wanita,03/11/1985,85000001526,Vocal - Singer,Solo (Open Class),No,,,,
Participant 1528,Participant 1528,Wanita,19/09/1993,85000001528,Vocal - Singer,Nias,Yes,,A,PASSED,
Participant 1542,Participant 1542,Pria,12/07/1990,85000001542,Vocal - Singer,Jakarta (Open Class),Yes,,A,PASSED,
Participant 1549,Participant 1549,Wanita,28/03/1983,85000001549,Vocal - Singer,Magelang,Yes,,B,PASSED,
Participant 1550,Participant 1550,Pria,23/10/1980,85000001550,Vocal - Singer,Nias,Yes,,A,PASSED,
Participant 1559,Participant 1559,Wanita,02/10/2000,85000001559,Vocal - Singer,Yogyakarta (Open Class),Yes,,B,PASSED,
Participant 1565,Participant 1565,Wanita,13/06/1975,85000001565,Vocal - Singer,Magelang,Yes,,B,PASSED,
Participant 1571,Participant 1571,Wanita,03/06/1998,85000001571,Vocal - Singer,Solo (Open Class),Yes,,C,PASSED,
Participant 1576,Participant 1576,Wanita,08/09/1982,85000001576,Vocal - Singer,Nias,Yes,,C,PASSED,
PARTICIPANT 1583,PARTICIPANT 1583,Wanita,02/01/1991,85000001583,Vocal - Singer,Yogyakarta (Open Class),No,,,,
Participant 1589,Participant 1589,Wanita,23/10/1974,85000001589,Vocal - Singer,Surabaya,Yes,,C,PASSED,
Participant 1590,Participant 1590,Wanita,03/05/1980,85000001590,Vocal - Singer,Surabaya,Yes,,B,PASSED,
Participant 1595,Participant 1595,Wanita,13/12/2003,85000001595,Vocal - Singer,Solo (Open Class),Yes,,C,PASSED,
Participant 1596,Participant 1596,Wanita,16/07/1979,85000001596,Vocal - Singer,Klaten,Yes,,C,PASSED,
Participant 1598,Participant 1598,Pria,26/09/1997,85000001598,Vocal - Singer,Solo (Open Class),Yes,,C,PASSED,
Participant 1599,Participant 1599,Wanita,21/02/2002,85000001599,Vocal - Singer,Klaten,No,,,,
Participant 1604,Participant 1604,Wanita,26/04/1977,85000001604,Vocal - Singer,Klaten,Yes,,B,PASSED,
Participant 1606,Participant 1606,Wanita,03/08/1988,85000001606,Vocal - Singer,Klaten,Yes,,C,PASSED,
Participant 1609,Participant 1609,Wanita,14/07/1981,85000001609,Vocal - Singer,Klaten,No,,,,
