FULL NAME,NICKNAME,GENDER,DATE OF BIRTH,PHONE NUMBER,PROGRAM SELECTED,BRANCH,ADMISSION STATUS,KETERANGAN PENGUJI 1,KETERANGAN PENGUJI 2,KETERANGAN PENGUJI 3,FINAL GRACE,GRADUATION STATUS,,
Participant 141,Participant 141,Pria,30/10/1994,85000000141,Music - Guitar,Solo,Yes,Bad,,,B,PASSED,,
Participant 170,Participant 170,Pria,16/07/1990,85000000170,Music - Guitar,Madiun,Yes,Good,,,B,PASSED,,
Participant 190,Participant 190,Pria,06/03/1985,85000000190,Music - Guitar,Nias,No,Good,,,,,,
Participant 208,Participant 208,Wanita,20/03/1996,85000000208,Music - Guitar,Pekalongan,Yes,Good,,,B,PASSED,,
Participant 241,Participant 241,Pria,10/06/1991,85000000241,Music - Guitar,Tangerang,Yes,Good,,,B,PASSED,,
Participant 267,Participant 267,Wanita,17/03/2000,85000000267,Music - Guitar,Madiun,No,Standard,,,,,,
Participant 280,Participant 280,Pria,16/01/1981,85000000280,Music - Guitar,Surabaya,Yes,Good,,,B,PASSED,,
Participant 312,Participant 312,Wanita,06/12/1972,85000000312,Music - Guitar,Boyolali,Yes,Good,,,A,PASSED,,
Participant 314,Participant 314,Pria,12/05/1997,85000000314,Music - Guitar,Solo,Yes,Good,,,C,PASSED,,
Participant 324,Participant 324,Pria,18/08/1997,85000000324,Music - Guitar,Samarinda,Yes,Good,,,B,PASSED,,
Participant 330,Participant 330,Pria,30/12/1985,85000000330,Music - Guitar,Solo,No,Standard,,,,,,
Participant 335,Participant 335,Pria,13/03/2004,85000000335,Music - Guitar,Samarinda,Yes,Good,,,B,PASSED,,
Participant 341,Participant 341,Pria,24/06/1960,85000000341,Music - Guitar,Solo,Yes,Bad,,,B,PASSED,,
Participant 342,Participant 342,Pria,28/08/1988,85000000342,Music - Guitar,Solo,Yes,Good,,,C,PASSED,,
Participant 355,Participant 355,Pria,01/07/1995,85000000355,Music - Guitar,Jakarta,No,Good,,,,,,
Participant 364,Participant 364,Pria,13/06/1982,85000000364,Music - Guitar,Solo,Yes,Good,,,A,PASSED,,
Participant 366,Participant 366,Wanita,06/07/2003,85000000366,Music - Guitar,Solo,Yes,Good,,,A,PASSED,,
Participant 391,Participant 391,Pria,19/06/2000,85000000391,Music - Guitar,Yogyakarta,Yes,Standard,,,C,PASSED,,
Participant 392,Participant 392,Pria,20/05/2003,85000000392,Music - Guitar,Solo,Yes,Good,,,A,PASSED,,
Participant 424,Participant 424,Pria,31/10/2002,85000000424,Music - Guitar,Bali,Yes,Good,,,A,PASSED,,
Participant 431,Participant 431,Wanita,15/12/2000,85000000431,Music - Guitar,Jakarta,Yes,Good,,,A,PASSED,,
Participant 457,Participant 457,Pria,06/04/1998,85000000457,Music - Guitar,Solo,No,Good,,,,,,
participant 480,participant 480,Pria,29/03/1987,85000000480,Music - Guitar,Jakarta,No,Standard,,,,,,
Participant 490,Participant 490,Pria,11/02/1999,85000000490,Music - Guitar,Solo,Yes,Good,,,A,PASSED,,
Participant 2527,Participant 2527,Pria,24/11/1988,85000002527,Music - Guitar,Yogyakarta,Yes,Bad,,,A,PASSED,,
Participant 2534,Participant 2534,Pria,08/12/2000,85000002534,Music - Guitar,Yogyakarta,Yes,Good,,,C,PASSED,,
participant 2538,participant 2538,Pria,07/04/1990,85000002538,Music - Guitar,Yogyakarta,Yes,Good,,,C,PASSED,,
participant 2540,participant 2540,Pria,19/10/2000,85000002540,Music - Guitar,Yogyakarta,Yes,Good,,,C,PASSED,,
Participant 2552,Participant 2552,Pria,31/12/1982,85000002552,Music - Guitar,Yogyakarta,Yes,Good,,,C,PASSED,,
Participant 2558,Participant 2558,Pria,27/02/1996,85000002558,Music - Guitar,Yogyakarta,No,Good,,,,,,
Participant 505,Participant 505,Pria,07/06/1998,85000000505,Music - Guitar,Solo,No,Standard,,,,,,
Participant 510,Participant 510,Pria,04/11/1991,85000000510,Music - Guitar,Jakarta,Yes,Good,,,C,PASSED,,
Participant 518,Participant 518,Pria,27/05/2002,85000000518,Music - Guitar,Solo,Yes,Bad,,,A,PASSED,,
Participant 551,Participant 551,Pria,20/06/1997,85000000551,Music - Guitar,Yogyakarta,Yes,Good,,,C,PASSED,,
Participant 602,Participant 602,Pria,26/05/2003,85000000602,Music - Guitar,Solo,Yes,Good,,,C,PASSED,,
PARTICIPANT 619,PARTICIPANT 619,Pria,26/09/1990,85000000619,Music - Guitar,Jakarta,Yes,Good,,,C,PASSED,,
Participant 621,Participant 621,Pria,30/04/2000,85000000621,Music - Guitar,Yogyakarta,No,Good,,,,,,
Participant 627,Participant 627,Pria,01/10/1997,85000000627,Music - Guitar,Solo,No,Standard,,,,,,
Participant 629,Participant 629,Pria,02/04/1999,85000000629,Music - Guitar,Bali,Yes,Good,,,C,PASSED,,
Participant 660,Participant 660,Wanita,06/10/1996,85000000660,Music - Guitar,Tangerang,Yes,Good,,,C,PASSED,,
Participant 668,Participant 668,Pria,11/12/2003,85000000668,Music - Guitar,Solo,Yes,Good,,,C,PASSED,,
Participant 697,Participant 697,Pria,03/01/1986,85000000697,Music - Guitar,Bali,Yes,Good,,,C,PASSED,,
Participant 701,Participant 701,Wanita,06/01/1998,85000000701,Music - Guitar,Purwokerto,Yes,Standard,,,C,PASSED,,
Participant 702,Participant 702,Pria,01/05/1996,85000000702,Music - Guitar,Jakarta,Yes,Good,,,C,PASSED,,
Participant 706,Participant 706,Pria,27/11/1997,85000000706,Music - Guitar,Solo,Yes,Bad,,,C,PASSED,,
Participant 793,Participant 793,Pria,04/03/2000,85000000793,Music - Guitar,Solo,Yes,Good,,,B,PASSED,,
Participant 810,Participant 810,Wanita,22/08/1978,85000000810,Music - Guitar,Jakarta,Yes,Good,,,C,PASSED,,
PARTICIPANT 852,PARTICIPANT 852,Pria,24/09/1992,85000000852,Music - Guitar,Bali,Yes,Good,,,B,PASSED,,
Participant 214,Participant 214,Pria,22/04/1984,85000000214,Music - Guitar,Nias,Yes,Good,,,B,PASSED,,
Participant 461,Participant 461,Pria,30/08/1988,85000000461,Music - Guitar,Jakarta,No,Standard,,,,,,
Participant 38,Participant 38,Pria,13/11/1996,85000000038,Music - Keyboard,Bandung,Yes,Good,,,B,PASSED,,
Participant 39,Participant 39,Pria,17/05/2002,85000000039,Music - Keyboard,Solo,Yes,Good,,,A,PASSED,,
participant 40,participant 40,Pria,01/07/1978,85000000040,Music - Keyboard,Semarang,Yes,Good,,,C,PASSED,,
Participant 41,Participant 41,Wanita,09/08/2000,85000000041,Music - Keyboard,Semarang,Yes,Good,,,C,PASSED,,
Participant 42,Participant 42,Pria,11/09/1999,85000000042,Music - Keyboard,Semarang,Yes,Good,,,C,PASSED,,
Participant 43,Participant 43,Wanita,10/05/1971,85000000043,Music - Keyboard,Jakarta,Yes,Standard,,,A,PASSED,,
Participant 44,Participant 44,Wanita,27/06/1968,85000000044,Music - Keyboard,Solo,Yes,Good,,,C,PASSED,,
PARTICIPANT 45,PARTICIPANT 45,Pria,01/06/1972,85000000045,Music - Keyboard,Solo,Yes,Good,,,C,PASSED,,
Participant 46,Participant 46,Pria,07/06/1986,85000000046,Music - Keyboard,Solo,Yes,Standard,,,C,PASSED,,
Participant 47,Participant 47,Wanita,15/11/2004,85000000047,Music - Keyboard,Madiun,Yes,Good,,,C,PASSED,,
Participant 48,Participant 48,Wanita,28/01/1998,85000000048,Music - Keyboard,Solo,Yes,Bad,,,A,PASSED,,
Participant 93,Participant 93,Wanita,10/12/2002,85000000093,Music - Keyboard,Solo,Yes,Good,,,B,PASSED,,
Participant 109,Participant 109,Pria,12/01/1992,85000000109,Music - Keyboard,Ngawi,No,Good,,,,,,
Participant 137,Participant 137,Pria,13/03/1995,85000000137,Music - Keyboard,Solo,Yes,Good,,,B,PASSED,,
Participant 163,Participant 163,Pria,19/07/1984,85000000163,Music - Keyboard,Madiun,Yes,Bad,,,A,PASSED,,
Participant 197,Participant 197,Wanita,13/11/1984,85000000197,Music - Keyboard,Jakarta,No,Good,,,,,,
Participant 198,Participant 198,Pria,17/04/1991,85000000198,Music - Keyboard,Nias,Yes,Good,,,C,PASSED,,
Participant 199,Participant 199,Pria,08/10/2000,85000000199,Music - Keyboard,Wonogiri,Yes,Good,,,A,PASSED,,
Participant 203,Participant 203,Pria,20/05/2002,85000000203,Music - Keyboard,Nias,Yes,Good,,,C,PASSED,,
Participant 221,Participant 221,Pria,05/10/1985,85000000221,Music - Keyboard,Solo,Yes,Standard,,,C,PASSED,,
Participant 232,Participant 232,Pria,18/08/1996,85000000232,Music - Keyboard,Tangerang,No,Good,,,,,,
Participant 271,Participant 271,Pria,12/11/1996,85000000271,Music - Keyboard,Wonosari,Yes,Good,,,C,PASSED,,
participant 276,participant 276,Pria,28/11/1993,85000000276,Music - Keyboard,Bandung,Yes,Good,,,C,PASSED,,
Participant 282,Participant 282,Pria,28/08/2004,85000000282,Music - Keyboard,Samarinda,Yes,Good,,,C,PASSED,,
Participant 283,Participant 283,Pria,23/06/2000,85000000283,Music - Keyboard,Bandung,Yes,Standard,,,B,PASSED,,
Participant 294,Participant 294,Pria,09/02/2002,85000000294,Music - Keyboard,Samarinda,Yes,Good,,,B,PASSED,,
PARTICIPANT 307,PARTICIPANT 307,Wanita,20/05/2004,85000000307,Music - Keyboard,Samarinda,Yes,Bad,,,A,PASSED,,
participant 323,participant 323,Wanita,01/08/1982,85000000323,Music - Keyboard,Solo ,Yes,Good,,,A,PASSED,,
Participant 345,Participant 345,Pria,16/08/2003,85000000345,Music - Keyboard,Boyolali,No,Good,,,,,,
participant 349,participant 349,Wanita,29/02/1984,85000000349,Music - Keyboard,Solo,No,Good,,,,,,
Participant 350,Participant 350,Pria,04/12/2004,85000000350,Music - Keyboard,Boyolali,Yes,Good,,,C,PASSED,,
Participant 365,Participant 365,Pria,30/06/1999,85000000365,Music - Keyboard,Yogyakarta,No,Good,,,,,,
Participant 367,Participant 367,Pria,13/01/2000,85000000367,Music - Keyboard,Sragen,No,Good,,,,,,
Participant 386,Participant 386,Wanita,28/01/1998,85000000386,Music - Keyboard,Solo,Yes,Standard,,,A,PASSED,,
Participant 394,Participant 394,Pria,05/05/2004,85000000394,Music - Keyboard,Boyolali,Yes,Good,,,C,PASSED,,
Participant 398,Participant 398,Pria,19/06/1980,85000000398,Music - Keyboard,Jakarta,Yes,Bad,,,C,PASSED,,
Participant 406,Participant 406,Wanita,11/03/1999,85000000406,Music - Keyboard,Bali,Yes,Good,,,A,PASSED,,
Participant 408,Participant 408,Pria,13/11/1996,85000000408,Music - Keyboard,Bandung,Yes,Good,,,C,PASSED,,
Participant 410,Participant 410,Pria,22/04/1992,85000000410,Music - Keyboard,Wonogiri,Yes,Good,,,C,PASSED,,
Participant 421,Participant 421,Pria,22/09/1988,85000000421,Music - Keyboard,Purwokerto,Yes,Good,,,A,PASSED,,
Participant 467,Participant 467,Wanita,22/12/2000,85000000467,Music - Keyboard,Bali,No,Good,,,,,,
Participant 474,Participant 474,Pria,14/11/1998,85000000474,Music - Keyboard,Bali,Yes,Good,,,C,PASSED,,
Participant 494,Participant 494,Pria,30/03/1981,85000000494,Music - Keyboard,Solo,Yes,Good,,,C,PASSED,,
Participant 2512,Participant 2512,Pria,02/10/2002,85000002512,Music - Keyboard,Yogyakarta,Yes,Good,,,C,PASSED,,
Participant 2519,Participant 2519,Pria,03/08/1994,85000002519,Music - Keyboard,Yogyakarta,Yes,Standard,,,C,PASSED,,
Participant 2536,Participant 2536,Pria,10/04/1997,85000002536,Music - Keyboard,Yogyakarta,Yes,Good,,,C,PASSED,,
Participant 2541,Participant 2541,Pria,20/08/1997,85000002541,Music - Keyboard,Yogyakarta,No,Bad,,,,,,
participant 2548,participant 2548,Pria,12/04/1993,85000002548,Music - Keyboard,Yogyakarta,Yes,Good,,,A,PASSED,,
Participant 2550,Participant 2550,Pria,13/10/1995,85000002550,Music - Keyboard,Yogyakarta,Yes,Good,,,A,PASSED,,
PARTICIPANT 547,PARTICIPANT 547,Pria,07/06/1997,85000000547,Music - Keyboard,Bali,Yes,Good,,,A,PASSED,,
Participant 565,Participant 565,Pria,27/05/1990,85000000565,Music - Keyboard,Jakarta,Yes,Good,,,B,PASSED,,
Participant 591,Participant 591,Pria,14/05/1999,85000000591,Music - Keyboard,Bali,Yes,Standard,,,B,PASSED,,
PARTICIPANT 684,PARTICIPANT 684,Wanita,12/07/1965,85000000684,Music - Keyboard,Wonosari,Yes,Good,,,A,PASSED,,
Participant 745,Participant 745,Pria,11/05/2002,85000000745,Music - Keyboard,Jakarta,Yes,Good,,,C,PASSED,,
Participant 754,Participant 754,Pria,22/12/1997,85000000754,Music - Keyboard,Ngawi,Yes,Good,,,C,PASSED,,
Participant 757,Participant 757,Pria,09/01/2001,85000000757,Music - Keyboard,Yogyakarta,Yes,Good,,,A,PASSED,,
Participant 790,Participant 790,Wanita,07/10/1995,85000000790,Music - Keyboard,Bali,Yes,Standard,,,C,PASSED,,
Participant 791,Participant 791,Wanita,29/04/2001,85000000791,Music - Keyboard,Bali,Yes,Good,,,B,PASSED,,
Participant 798,Participant 798,Wanita,28/05/1988,85000000798,Music - Keyboard,Jakarta,Yes,Bad,,,B,PASSED,,
Participant 818,Participant 818,Wanita,28/04/1990,85000000818,Music - Keyboard,Bali,Yes,Good,,,A,PASSED,,
Participant 820,Participant 820,Pria,20/03/2002,85000000820,Music - Keyboard,Bali,Yes,Good,,,A,PASSED,,
Participant 861,Participant 861,Wanita,13/02/1989,85000000861,Music - Keyboard,Nias,No,Good,,,,,,
Participant 866,Participant 866,Pria,07/01/1993,85000000866,Music - Keyboard,Jakarta,Yes,Good,,,A,PASSED,,
PARTICIPANT 2485,PARTICIPANT 2485,Wanita,06/08/1997,85000002485,Music - Keyboard,Yogyakarta,No,Standard,,,,,,
PARTICIPANT 462,PARTICIPANT 462,Pria,06/12/2003,85000000462,Music - Keyboard,Bali,Yes,Good,,,A,PASSED,,
PARTICIPANT 15,PARTICIPANT 15,Wanita,26/04/1972,85000000015,Visual - Makeup,Solo,Yes,Good,,,B,PASSED,,
Participant 16,Participant 16,Wanita,18/06/1992,85000000016,Visual - Makeup,Solo,Yes,Good,,,B,PASSED,,
Participant 17,Participant 17,Wanita,02/10/1995,85000000017,Visual - Makeup,Solo,Yes,Good,,,A,PASSED,,
Participant 18,Participant 18,Wanita,16/12/1981,85000000018,Visual - Makeup,Solo,Yes,Standard,,,C,PASSED,,
Participant 19,Participant 19,Wanita,02/07/1977,85000000019,Visual - Makeup,Jakarta,Yes,Good,,,C,PASSED,,
Participant 97,Participant 97,Wanita,01/12/1989,85000000097,Visual - Makeup,Solo,Yes,Bad,,,C,PASSED,,
Participant 98,Participant 98,Wanita,15/10/1998,85000000098,Visual - Makeup,Solo,Yes,Good,,,C,PASSED,,
Participant 99,Participant 99,Wanita,30/10/1985,85000000099,Visual - Makeup,Solo,No,Good,,,,,,
Participant 101,Participant 101,Wanita,02/06/1997,85000000101,Visual - Makeup,Solo,Yes,Good,,,C,PASSED,,
Participant 125,Participant 125,Wanita,15/04/1994,85000000125,Visual - Makeup,Yogyakarta,Yes,Good,,,C,PASSED,,
Participant 128,Participant 128,Wanita,18/11/2001,85000000128,Visual - Makeup,Solo,Yes,Good,,,C,PASSED,,
Participant 133,Participant 133,Wanita,01/09/1996,85000000133,Visual - Makeup,Jakarta,Yes,Good,,,C,PASSED,,
Participant 157,Participant 157,Wanita,26/11/1999,85000000157,Visual - Makeup,Madiun,Yes,Good,,,C,PASSED,,
Participant 175,Participant 175,Wanita,20/11/1959,85000000175,Visual - Makeup,Solo,Yes,Standard,,,A,PASSED,,
Participant 186,Participant 186,Wanita,08/07/2002,85000000186,Visual - Makeup,Nias,No,Good,,,,,,
Participant 187,Participant 187,Wanita,06/03/1999,85000000187,Visual - Makeup,Nias,Yes,Bad,,,C,PASSED,,
Participant 220,Participant 220,Wanita,02/09/1979,85000000220,Visual - Makeup,Jakarta,No,Good,,,,,,
Participant 223,Participant 223,Wanita,13/06/1967,85000000223,Visual - Makeup,Wonosari,Yes,Good,,,A,PASSED,,
PARTICIPANT 289,PARTICIPANT 289,Wanita,28/12/1974,85000000289,Visual - Makeup,Madiun,Yes,Good,,,C,PASSED,,
Participant 303,Participant 303,Wanita,08/04/1998,85000000303,Visual - Makeup,Samarinda,Yes,Good,,,A,PASSED,,
Participant 327,Participant 327,Wanita,17/05/1995,85000000327,Visual - Makeup,Yogyakarta,Yes,Good,,,C,PASSED,,
Participant 328,Participant 328,Wanita,30/11/2001,85000000328,Visual - Makeup,Sragen,No,Good,,,,,,
Participant 329,Participant 329,Wanita,20/04/1984,85000000329,Visual - Makeup,Solo ,Yes,Good,,,A,PASSED,,
Participant 340,Participant 340,Wanita,20/02/1983,85000000340,Visual - Makeup,Samarinda,No,Standard,,,,,,
Participant 347,Participant 347,Wanita,12/06/1973,85000000347,Visual - Makeup,Solo,Yes,Good,,,A,PASSED,,
Participant 351,Participant 351,Wanita,19/04/2001,85000000351,Visual - Makeup,Solo,No,Bad,,,,,,
Participant 423,Participant 423,Wanita,19/02/1996,85000000423,Visual - Makeup,Solo,Yes,Good,,,C,PASSED,,
Participant 429,Participant 429,Wanita,29/07/1966,85000000429,Visual - Makeup,Surabaya,Yes,Good,,,C,PASSED,,
Participant 434,Participant 434,Wanita,13/12/1976,85000000434,Visual - Makeup,Solo,No,Good,,,,,,
Participant 436,Participant 436,Wanita,13/07/2003,85000000436,Visual - Makeup,Bali,No,Good,,,,,,
Participant 453,Participant 453,Wanita,28/12/1997,85000000453,Visual - Makeup,Solo,Yes,Standard,,,C,PASSED,,
Participant 455,Participant 455,Wanita,14/08/1967,85000000455,Visual - Makeup,Solo,No,Good,,,,,,
Participant 471,Participant 471,Wanita,27/12/1992,85000000471,Visual - Makeup,Tangerang,Yes,Good,,,C,PASSED,,
Participant 477,Participant 477,Wanita,17/10/2002,85000000477,Visual - Makeup,Sragen,Yes,Good,,,C,PASSED,,
Participant 483,Participant 483,Wanita,20/08/1984,85000000483,Visual - Makeup,Magelang,Yes,Good,,,A,PASSED,,
Participant 504,Participant 504,Wanita,24/04/1982,85000000504,Visual - Makeup,Nias,Yes,Good,,,A,PASSED,,
Participant 507,Participant 507,Wanita,08/03/1995,85000000507,Visual - Makeup,Magelang,Yes,Standard,,,A,PASSED,,
Participant 513,Participant 513,Wanita,16/10/2001,85000000513,Visual - Makeup,Bali,No,Good,,,,,,
Participant 522,Participant 522,Wanita,25/08/1998,85000000522,Visual - Makeup,Yogyakarta,Yes,Good,,,A,PASSED,,
Participant 561,Participant 561,Wanita,10/12/1977,85000000561,Visual - Makeup,Bali,Yes,Good,,,C,PASSED,,
Participant 571,Participant 571,Wanita,20/08/1978,85000000571,Visual - Makeup,Bali,Yes,Good,,,A,PASSED,,
Participant 586,Participant 586,Wanita,17/08/1976,85000000586,Visual - Makeup,Semarang,Yes,Good,,,C,PASSED,,
Participant 596,Participant 596,Wanita,16/09/1997,85000000596,Visual - Makeup,Solo,Yes,Good,,,C,PASSED,,
Participant 600,Participant 600,Wanita,15/12/1996,85000000600,Visual - Makeup,Yogyakarta,Yes,Good,,,A,PASSED,,
Participant 612,Participant 612,Wanita,06/05/1979,85000000612,Visual - Makeup,Bali,No,Good,,,,,,
Participant 624,Participant 624,Wanita,25/03/1974,85000000624,Visual - Makeup,Bali,No,Standard,,,,,,
Participant 653,Participant 653,Wanita,26/06/1995,85000000653,Visual - Makeup,Yogyakarta,Yes,Good,,,A,PASSED,,
Participant 656,Participant 656,Wanita,24/03/1984,85000000656,Visual - Makeup,Solo,Yes,Bad,,,B,PASSED,,
Participant 673,Participant 673,Wanita,18/04/1992,85000000673,Visual - Makeup,Bali,No,Good,,,,,,
Participant 708,Participant 708,Wanita,23/01/1970,85000000708,Visual - Makeup,Magelang,Yes,Good,,,A,PASSED,,
Participant 709,Participant 709,Wanita,30/10/1994,85000000709,Visual - Makeup,Solo,Yes,Good,,,A,PASSED,,
Participant 719,Participant 719,Wanita,28/03/1965,85000000719,Visual - Makeup,Samarinda,Yes,Good,,,A,PASSED,,
Participant 732,Participant 732,Wanita,02/10/1976,85000000732,Visual - Makeup,Jakarta,Yes,Good,,,B,PASSED,,
Participant 748,Participant 748,Wanita,02/06/1999,85000000748,Visual - Makeup,Bali,No,Good,,,,,,
Participant 766,Participant 766,Wanita,12/04/1980,85000000766,Visual - Makeup,Jakarta,No,Good,,,,,,
Participant 775,Participant 775,Wanita,30/04/1997,85000000775,Visual - Makeup,Bali,Yes,Standard,,,B,PASSED,,
Participant 797,Participant 797,Wanita,27/03/1994,85000000797,Visual - Makeup,Bali,Yes,Good,,,A,PASSED,,
Participant 803,Participant 803,Wanita,30/03/1981,85000000803,Visual - Makeup,Bali,Yes,Bad,,,A,PASSED,,
Participant 840,Participant 840,Wanita,03/04/1982,85000000840,Visual - Makeup,Salatiga,No,Good,,,,,,
Participant 52,Participant 52,Wanita,14/08/1983,85000000052,Vocal - Lead,Ngawi,No,Good,,,,,,
Participant 53,Participant 53,Wanita,13/01/1998,85000000053,Vocal - Lead,Ngawi,Yes,Good,,,A,PASSED,,
Participant 142,Participant 142,Wanita,18/06/1987,85000000142,Vocal - Lead,Madiun,Yes,Good,,,A,PASSED,,
Participant 158,Participant 158,Wanita,23/03/1980,85000000158,Vocal - Lead,Solo,Yes,Standard,,,A,PASSED,,
Participant 185,Participant 185,Wanita,23/04/1989,85000000185,Vocal - Lead,Solo,Yes,Good,,,C,PASSED,,
Participant 218,Participant 218,Wanita,13/06/1978,85000000218,Vocal - Lead,Jakarta,Yes,Good,,,A,PASSED,,
Participant 244,Participant 244,Wanita,21/03/1987,85000000244,Vocal - Lead,Solo,No,Good,,,,,,
Participant 253,Participant 253,Wanita,22/10/1983,85000000253,Vocal - Lead,Pekalongan,Yes,Good,,,A,PASSED,,
Participant 255,Participant 255,Wanita,29/08/1988,85000000255,Vocal - Lead,Pekalongan,Yes,Good,,,A,PASSED,,
Participant 261,Participant 261,Wanita,07/11/1986,85000000261,Vocal - Lead,Semarang,No,Standard,,,,,,
Participant 270,Participant 270,Wanita,22/08/1979,85000000270,Vocal - Lead,Solo,Yes,Good,,,B,PASSED,,
Participant 273,Participant 273,Wanita,20/08/1994,85000000273,Vocal - Lead,Surabaya,Yes,Good,,,C,PASSED,,
Participant 288,Participant 288,Wanita,03/09/1976,85000000288,Vocal - Lead,Yogyakarta,Yes,Good,,,A,PASSED,,
Participant 309,Participant 309,Pria,20/06/1995,85000000309,Vocal - Lead,Samarinda,Yes,Good,,,C,PASSED,,
participant 319,participant 319,Wanita,20/10/1976,85000000319,Vocal - Lead,Solo,Yes,Good,,,A,PASSED,,
Participant 333,Participant 333,Wanita,07/01/1968,85000000333,Vocal - Lead,Samarinda,Yes,Good,,,A,PASSED,,
Participant 356,Participant 356,Wanita,04/02/1976,85000000356,Vocal - Lead,Boyolali,No,Standard,,,,,,
Participant 130,Participant 130,Wanita,30/09/1976,85000000130,Vocal - Lead,Madiun,Yes,Good,,,A,PASSED,,
Participant 452,Participant 452,Wanita,28/05/1991,85000000452,Vocal - Lead,Solo,Yes,Bad,,,B,PASSED,,
Participant 456,Participant 456,Pria,11/01/1998,85000000456,Vocal - Lead,Jakarta,Yes,Good,,,B,PASSED,,
Participant 476,Participant 476,Wanita,29/11/1970,85000000476,Vocal - Lead,Surabaya,Yes,Good,,,B,PASSED,,
Participant 503,Participant 503,Pria,02/05/1993,85000000503,Vocal - Lead,Jakarta,Yes,Good,,,B,PASSED,,
Participant 514,Participant 514,Wanita,12/09/1973,85000000514,Vocal - Lead,Solo,No,Good,,,,,,
Participant 515,Participant 515,Wanita,09/09/2003,85000000515,Vocal - Lead,Solo,Yes,Good,,,A,PASSED,,
Participant 529,Participant 529,Wanita,25/03/1998,85000000529,Vocal - Lead,Bali,Yes,Standard,,,B,PASSED,,
Participant 548,Participant 548,Wanita,06/05/1975,85000000548,Vocal - Lead,Solo,Yes,Good,,,B,PASSED,,
Participant 563,Participant 563,Wanita,26/11/1998,85000000563,Vocal - Lead,Yogyakarta,Yes,Bad,,,A,PASSED,,
Participant 636,Participant 636,Wanita,31/03/1986,85000000636,Vocal - Lead,Yogyakarta,Yes,Good,,,C,PASSED,,
Participant 650,Participant 650,Wanita,15/02/2004,85000000650,Vocal - Lead,Surabaya,Yes,Good,,,B,PASSED,,
Participant 669,Participant 669,Wanita,27/12/1988,85000000669,Vocal - Lead,Jakarta,Yes,Good,,,C,PASSED,,
Participant 692,Participant 692,Wanita,15/03/2003,85000000692,Vocal - Lead,Surabaya,Yes,Bad,,,C,PASSED,,
Participant 694,Participant 694,Wanita,17/01/1999,85000000694,Vocal - Lead,Surabaya,No,Good,,,,,,
Participant 799,Participant 799,Wanita,04/07/1999,85000000799,Vocal - Lead,Bali,Yes,Good,,,B,PASSED,,
Participant 833,Participant 833,Wanita,29/01/1998,85000000833,Vocal - Lead,Jakarta,No,Good,,,,,,
Participant 54,Participant 54,Wanita,22/08/1995,85000000054,Vocal - Choir,Solo,Yes,Good,,,B,PASSED,,
Participant 55,Participant 55,Wanita,05/02/1998,85000000055,Vocal - Choir,Solo,No,Standard,,,,,,
Participant 56,Participant 56,Wanita,18/06/2001,85000000056,Vocal - Choir,Solo,No,Good,,,,,,
Participant 57,Participant 57,Wanita,08/08/2001,85000000057,Vocal - Choir,Solo,Yes,Good,,,A,PASSED,,
Participant 58,Participant 58,Wanita,16/10/2002,85000000058,Vocal - Choir,Solo,Yes,Standard,,,A,PASSED,,
Participant 126,Participant 126,Wanita,19/07/1971,85000000126,Vocal - Choir,Nias,Yes,Good,,,A,PASSED,,
Participant 129,Participant 129,Wanita,03/06/1974,85000000129,Vocal - Choir,Nias,No,Good,,,,,,
Participant 182,Participant 182,Wanita,12/10/1977,85000000182,Vocal - Choir,Nias,Yes,Standard,,,A,PASSED,,
Participant 189,Participant 189,Wanita,16/07/1976,85000000189,Vocal - Choir,Nias,Yes,Good,,,B,PASSED,,
Participant 195,Participant 195,Wanita,04/10/1966,85000000195,Vocal - Choir,Nias,Yes,Good,,,B,PASSED,,
Participant 209,Participant 209,Pria,05/07/1987,85000000209,Vocal - Choir,Solo,Yes,Standard,,,A,PASSED,,
Participant 213,Participant 213,Wanita,16/03/2004,85000000213,Vocal - Choir,Solo,Yes,Good,,,C,PASSED,,
Participant 300,Participant 300,Pria,19/10/1971,85000000300,Vocal - Choir,Samarinda,Yes,Good,,,A,PASSED,,
Participant 301,Participant 301,Wanita,14/02/1974,85000000301,Vocal - Choir,Samarinda,Yes,Standard,,,A,PASSED,,
Participant 320,Participant 320,Wanita,31/05/1980,85000000320,Vocal - Choir,Samarinda,Yes,Good,,,A,PASSED,,
Participant 416,Participant 416,Wanita,06/09/1974,85000000416,Vocal - Choir,Jakarta,Yes,Good,,,C,PASSED,,
Participant 501,Participant 501,Wanita,12/09/1982,85000000501,Vocal - Choir,Madiun,Yes,Standard,,,B,PASSED,,
Participant 2554,Participant 2554,Wanita,01/05/1969,85000002554,Vocal - Choir,Yogyakarta,Yes,Good,,,C,PASSED,,
Participant 512,Participant 512,Wanita,22/12/2000,85000000512,Vocal - Choir,Solo,Yes,Good,,,B,PASSED,,
Participant 517,Participant 517,Wanita,19/02/2004,85000000517,Vocal - Choir,Solo,No,Standard,,,,,,
Participant 521,Participant 521,Pria,24/06/1975,85000000521,Vocal - Choir,Solo,Yes,Good,,,C,PASSED,,
Participant 556,Participant 556,Wanita,06/05/1997,85000000556,Vocal - Choir,Solo,Yes,Good,,,C,PASSED,,
Participant 584,Participant 584,Wanita,14/02/1990,85000000584,Vocal - Choir,Solo,Yes,Standard,,,B,PASSED,,
