FULL NAME,NICKNAME,GENDER,DATE OF BIRTH,PHONE NUMBER,PROGRAM SELECTED,BRANCH,CHECKLIST A,CHECKLIST B,CHECKLIST C,CHECKLIST D,CHECKLIST E,YEAR,ADMISSION STATUS,,,
PARTICIPANT 1924,PARTICIPANT 1924,Pria,01/06/1972,85000001924,Music - Keyboard,Solo (Open Class),Completed,Completed,Completed,Completed,Completed,2019,Yes,,,
Participant 1925,Participant 1925,Wanita,23/12/2000,85000001925,Vocal - Singer,Solo (Open Class),Completed,Completed,Completed,Completed,Completed,2019,No,,,
PARTICIPANT 1926,PARTICIPANT 1926,Wanita,31/01/2003,85000001926,Arts - Flag,Magelang,Completed,Completed,Not Completed,Completed,Completed,2019,Yes,,,
PARTICIPANT 2132,PARTICIPANT 2132,Wanita,31/01/2003,85000002132,Arts - Flag,Magelang,Completed,Completed,Completed,Completed,Completed,2019,Yes,,,
Participant 1927,Participant 1927,Wanita,27/11/1980,85000001927,Vocal - Singer,Solo (Open Class),Completed,Completed,Completed,Completed,Completed,2019,Yes,,,
Participant 1928,Participant 1928,Pria,06/05/2004,85000001928,Vocal - Singer,Jakarta (Open Class),Not Completed,Completed,Completed,Not Completed,Completed,2019,Yes,,,
Participant 1929,Participant 1929,Pria,19/11/1995,85000001929,Vocal - Singer,Malang,Not Completed,Not Completed,Completed,Not Completed,Completed,2019,Yes,,,
Participant 1930,Participant 1930,Wanita,26/06/2005,85000001930,Arts - Percussion,Jakarta (Open Class),Completed,Completed,Completed,Completed,Not Completed,2019,Yes,,,
Participant 1931,Participant 1931,Wanita,30/04/2005,85000001931,Arts - Percussion,Jakarta (Open Class),Completed,Completed,Completed,Completed,Completed,2019,Yes,,,
Participant 1932,Participant 1932,Wanita,27/02/1999,85000001932,Arts - Percussion,Sragen,Completed,Completed,Not Completed,Completed,Completed,2019,Yes,,,
Participant 1934,Participant 1934,Pria,26/04/2003,85000001934,Music - Bass,Sragen,Completed,Completed,Completed,Completed,Completed,2019,No,,,
PARTICIPANT 1935,PARTICIPANT 1935,Wanita,24/03/2004,85000001935,Arts - Percussion,Sragen,Completed,Not Completed,Not Completed,Completed,Completed,2019,Yes,,,
Participant 1936,Participant 1936,Wanita,19/07/2004,85000001936,Arts - Percussion,Sragen,Completed,Completed,Completed,Completed,Completed,2019,Yes,,,
Participant 1937,Participant 1937,Pria,24/07/2001,85000001937,Music - Bass,Solo (Open Class),Completed,Completed,Not Completed,Completed,Completed,2019,Yes,,,
Participant 1938,Participant 1938,Wanita,22/01/2000,85000001938,Arts - Percussion,Jakarta (Open Class),Completed,Completed,Completed,Completed,Completed,2019,Yes,,,
Participant 1939,Participant 1939,Wanita,19/06/2001,85000001939,Arts - Percussion,Sragen,Completed,Completed,Completed,Completed,Not Completed,2019,Yes,,,
Participant 1940,Participant 1940,Wanita,11/01/2003,85000001940,Arts - Percussion,Jakarta (Open Class),Completed,Completed,Completed,Completed,Completed,2019,No,,,
Participant 1941,Participant 1941,Wanita,28/07/2002,85000001941,Arts - Percussion,Jakarta (Open Class),Completed,Completed,Completed,Completed,Completed,2019,Yes,,,
Participant 1942,Participant 1942,Wanita,16/10/2004,85000001942,Arts - Percussion,Jakarta (Open Class),Not Completed,Completed,Completed,Completed,Completed,2019,Yes,,,
Participant 1943,Participant 1943,Wanita,25/01/2006,85000001943,Arts - Percussion,Sragen,Completed,Completed,Completed,Completed,Not Completed,2019,No,,,
Participant 1944,Participant 1944,Wanita,20/12/1989,85000001944,Arts - Percussion,Jakarta (Open Class),Completed,Completed,Completed,Completed,Completed,2019,Yes,,,
Participant 1945,Participant 1945,Wanita,01/06/1998,85000001945,Arts - Movement,Sragen,Completed,Completed,Completed,Completed,Completed,2019,No,,,
Participant 1946,Participant 1946,Wanita,14/01/1983,85000001946,Arts - Movement,Sragen,Completed,Not Completed,Completed,Completed,Completed,2019,Yes,,,
Participant 1947,Participant 1947,Pria,14/01/2002,85000001947,Music - Guitar,Solo (Open Class),Completed,Completed,Completed,Not Completed,Completed,2019,Yes,,,
Participant 1948,Participant 1948,Wanita,10/10/2007,85000001948,Arts - Percussion,Jakarta (Open Class),Completed,Completed,Completed,Completed,Completed,2019,Yes,,,
PARTICIPANT 1950,PARTICIPANT 1950,Wanita,09/09/2000,85000001950,Vocal - Singer,Jakarta (Open Class),Completed,Completed,Completed,Completed,Completed,2019,Yes,,,
Participant 1951,Participant 1951,Wanita,19/05/1982,85000001951,Vocal - Singer,Jakarta (Open Class),Completed,Completed,Completed,Completed,Completed,2019,No,,,
Participant 1952,Participant 1952,Pria,27/07/1976,85000001952,Vocal - Singer,Jakarta (Open Class),Completed,Completed,Not Completed,Completed,Completed,2019,No,,,
Participant 1953,Participant 1953,Wanita,19/02/1990,85000001953,Vocal - Singer,Yogyakarta (Open Class),Completed,Not Completed,Completed,Not Completed,Completed,2019,No,,,
Participant 1954,Participant 1954,Wanita,26/06/1985,85000001954,Vocal - Singer,Jakarta (Open Class),Completed,Completed,Completed,Completed,Completed,2019,No,,,
Participant 1955,Participant 1955,Pria,20/11/2004,85000001955,Music - Bass,Jakarta (Open Class),Not Completed,Not Completed,Completed,Not Completed,Completed,2019,Yes,,,
Participant 1956,Participant 1956,Pria,12/03/1993,85000001956,Vocal - Singer,Jakarta (Open Class),Completed,Completed,Completed,Completed,Completed,2019,Yes,,,
Participant 1957,Participant 1957,Pria,23/04/1987,85000001957,Vocal - Singer,Jakarta (Open Class),Completed,Completed,Completed,Completed,Completed,2019,Yes,,,
Participant 1958,Participant 1958,Wanita,21/03/1994,85000001958,Vocal - Singer,Jakarta (Open Class),Completed,Not Completed,Not Completed,Completed,Completed,2019,No,,,
Participant 1959,Participant 1959,Wanita,31/07/1987,85000001959,Vocal - Singer,Jakarta (Open Class),Completed,Not Completed,Completed,Completed,Not Completed,2019,No,,,
Participant 1960,Participant 1960,Pria,23/10/1991,85000001960,Vocal - Singer,Jakarta (Open Class),Completed,Completed,Completed,Completed,Completed,2019,No,,,
Participant 1961,Participant 1961,Pria,09/02/1985,85000001961,Music - Keyboard,Jakarta (Open Class),Completed,Completed,Completed,Completed,Completed,2019,No,,,
Participant 1962,Participant 1962,Pria,10/12/1989,85000001962,Music - Guitar,Jakarta (Open Class),Completed,Not Completed,Completed,Completed,Completed,2019,Yes,,,
Participant 1963,Participant 1963,Wanita,05/04/1993,85000001963,Vocal - Singer,Jakarta (Open Class),Completed,Not Completed,Completed,Completed,Completed,2019,Yes,,,
Participant 1964,Participant 1964,Pria,02/06/2001,85000001964,Music - Bass,Jakarta (Open Class),Completed,Completed,Completed,Completed,Completed,2019,Yes,,,
Participant 1965,Participant 1965,Wanita,26/12/1996,85000001965,Vocal - Singer,Jakarta (Open Class),Not Completed,Completed,Not Completed,Completed,Completed,2019,No,,,
Participant 1967,Participant 1967,Pria,18/05/1987,85000001967,Music - Guitar,Jakarta (Open Class),Not Completed,Completed,Completed,Completed,Completed,2019,No,,,
Participant 1969,Participant 1969,Wanita,21/03/1987,85000001969,Arts - Percussion,Jakarta (Open Class),Completed,Completed,Completed,Completed,Completed,2019,No,,,
Participant 1972,Participant 1972,Pria,25/01/1978,85000001972,Music - Drum,Yogyakarta (Open Class),Completed,Completed,Completed,Completed,Completed,2019,No,,,
Participant 1973,Participant 1973,Pria,25/02/1978,85000001973,Music - Drum,Yogyakarta (Open Class),Completed,Completed,Completed,Completed,Completed,2019,Yes,,,
Participant 1974,Participant 1974,Pria,05/02/1996,85000001974,Music - Keyboard,Yogyakarta (Open Class),Not Completed,Completed,Completed,Completed,Completed,2019,Yes,,,
Participant 1976,Participant 1976,Wanita,29/11/1996,85000001976,Arts - Percussion,Jakarta (Open Class),Completed,Completed,Completed,Completed,Completed,2019,Yes,,,
Participant 1977,Participant 1977,Pria,02/08/1980,85000001977,Music - Bass,Jakarta (Open Class),Completed,Completed,Not Completed,Not Completed,Not Completed,2019,No,,,
Participant 1978,Participant 1978,Pria,08/07/1996,85000001978,Music - Drum,Jakarta (Open Class),Completed,Not Completed,Completed,Completed,Completed,2019,No,,,
PARTICIPANT 1979,PARTICIPANT 1979,Wanita,31/03/1993,85000001979,Music - Bass,Jakarta (Open Class),Completed,Completed,Completed,Completed,Completed,2019,No,,,
Participant 1980,Participant 1980,Wanita,16/03/2007,85000001980,Arts - Percussion,Solo (Open Class),Completed,Completed,Completed,Completed,Completed,2019,No,,,
Participant 1981,Participant 1981,Wanita,07/10/1990,85000001981,Vocal - Singer,Jakarta (Open Class),Completed,Completed,Completed,Not Completed,Completed,2019,Yes,,,
Participant 1982,Participant 1982,Pria,18/05/1975,85000001982,Music - Guitar,Sragen,Completed,Completed,Completed,Not Completed,Completed,2019,Yes,,,
Participant 1983,Participant 1983,Pria,02/05/1994,85000001983,Vocal - Singer,Jakarta (Open Class),Completed,Completed,Completed,Completed,Completed,2019,Yes,,,
Participant 1984,Participant 1984,Wanita,13/12/1977,85000001984,Visual - Makeup,Sragen,Completed,Not Completed,Completed,Completed,Completed,2019,No,,,
Participant 1986,Participant 1986,Pria,21/01/2002,85000001986,Music - Bass,Yogyakarta (Open Class),Not Completed,Completed,Not Completed,Completed,Completed,2019,No,,,
PARTICIPANT 1987,PARTICIPANT 1987,Wanita,10/10/1973,85000001987,Vocal - Singer,Sragen,Completed,Completed,Completed,Completed,Completed,2019,No,,,
Participant 1988,Participant 1988,Pria,24/03/2002,85000001988,Music - Guitar,Yogyakarta (Open Class),Completed,Completed,Completed,Not Completed,Not Completed,2019,No,,,
Participant 1989,Participant 1989,Pria,18/01/2004,85000001989,Music - Keyboard,Sragen,Completed,Completed,Completed,Not Completed,Completed,2019,Yes,,,
Participant 1990,Participant 1990,Pria,21/04/1998,85000001990,Music - Guitar,Yogyakarta (Open Class),Completed,Completed,Completed,Not Completed,Not Completed,2019,Yes,,,
Participant 672,Participant 672,Wanita,10/10/2003,85000000672,Vocal - Singer,Wonosari,Completed,Completed,Not Completed,Completed,Completed,2019,Yes,,,
Participant 1991,Participant 1991,Pria,25/06/1997,85000001991,Music - Drum,Sragen,Completed,Completed,Completed,Completed,Completed,2019,No,,,
Participant 1993,Participant 1993,Pria,29/04/2003,85000001993,Music - Keyboard,Sragen,Completed,Completed,Completed,Not Completed,Completed,2019,No,,,
Participant 1994,Participant 1994,Wanita,27/09/1971,85000001994,Vocal - Singer,Solo (Open Class),Completed,Completed,Completed,Completed,Completed,2019,No,,,
Participant 1995,Participant 1995,Pria,20/08/2003,85000001995,Audio - Engineer,Yogyakarta (Open Class),Completed,Not Completed,Completed,Completed,Completed,2019,No,,,
Participant 1996,Participant 1996,Pria,06/06/2001,85000001996,Audio - Engineer,Yogyakarta (Open Class),Completed,Completed,Completed,Completed,Not Completed,2019,Yes,,,
Participant 1998,Participant 1998,Wanita,29/12/2002,85000001998,Arts - Movement,Yogyakarta (Open Class),Completed,Completed,Completed,Completed,Not Completed,2019,Yes,,,
Participant 1999,Participant 1999,Pria,10/12/2001,85000001999,Vocal - Singer,Yogyakarta (Open Class),Completed,Completed,Completed,Not Completed,Completed,2019,Yes,,,
PARTICIPANT 2000,PARTICIPANT 2000,Pria,03/04/2002,85000002000,Vocal - Singer,Yogyakarta (Open Class),Completed,Completed,Completed,Completed,Not Completed,2019,No,,,
Participant 2006,Participant 2006,Wanita,11/03/1993,85000002006,Vocal - Singer,Madiun,Yes,Completed,Not Completed,Completed,Completed,2019,No,,,
Participant 2009,Participant 2009,Pria,20/10/1994,85000002009,Music - Bass,Bandung,Completed,Completed,Not Completed,Completed,Completed,2019,No,,,
Participant 2010,Participant 2010,Wanita,07/08/2007,85000002010,Arts - Percussion,Solo (Open Class),Completed,Completed,Completed,Completed,Completed,2019,No,,,
Participant 2011,Participant 2011,Pria,27/12/2005,85000002011,Arts - Flag,Solo (Open Class),Completed,Completed,Completed,Not Completed,Not Completed,2019,Yes,,,
Participant 2012,Participant 2012,Pria,08/01/2007,85000002012,Music - Guitar,Solo (Open Class),Completed,Completed,Completed,Completed,Completed,2019,Yes,,,
PARTICIPANT 2013,PARTICIPANT 2013,Pria,02/10/1976,85000002013,Audio - Engineer,Solo  (Open Class),Not Completed,Not Completed,Not Completed,Completed,Completed,2019,Yes,,,
Participant 2014,Participant 2014,Wanita,30/11/2003,85000002014,Music - Keyboard,Yogyakarta (Open Class),Completed,Completed,Completed,Completed,Completed,2019,No,,,
Participant 2016,Participant 2016,Pria,26/05/1996,85000002016,Music - Bass,Solo (Open Class),Completed,Completed,Not Completed,Completed,Completed,2019,No,,,
Participant 2018,Participant 2018,Pria,16/05/2003,85000002018,Vocal - Singer,Solo (Open Class),Not Completed,Completed,Completed,Completed,Not Completed,2019,No,,,
Participant 2020,Participant 2020,Pria,03/04/2000,85000002020,Visual - Makeup,Sragen,Completed,Completed,Completed,Completed,Completed,2019,No,,,
Participant 2021,Participant 2021,Pria,25/02/1991,85000002021,Arts - Flag,Yogyakarta (Open Class),Completed,Completed,Completed,Completed,Completed,2019,Yes,,,
Participant 2022,Participant 2022,Pria,04/02/1998,85000002022,Audio - Engineer,Solo (Open Class),Completed,Completed,Completed,Not Completed,Completed,2019,Yes,,,
Participant 2023,Participant 2023,Wanita,18/11/2002,85000002023,Vocal - Choir,Solo (Open Class),Completed,Completed,Completed,Not Completed,Completed,2019,Yes,,,
Participant 2024,Participant 2024,Pria,29/12/2004,85000002024,Music - Bass,Sragen,Not Completed,Completed,Completed,Completed,Not Completed,2019,No,,,
Participant 2025,Participant 2025,Pria,20/11/2005,85000002025,Music - Guitar,Solo  (Open Class),Completed,Not Completed,Not Completed,Completed,Completed,2019,No,,,
Participant 2026,Participant 2026,Pria,14/10/2003,85000002026,Vocal - Choir,Yogyakarta (Open Class),Not Completed,Completed,Completed,Completed,Completed,2019,No,,,
Participant 2027,Participant 2027,Wanita,23/07/2001,85000002027,Arts - Percussion,Yogyakarta (Open Class),Completed,Completed,Completed,Completed,Completed,2019,No,,,
Participant 2029,Participant 2029,Pria,27/07/2007,85000002029,Music - Guitar,Solo (Open Class),Not Completed,Completed,Completed,Not Completed,Completed,2019,Yes,,,
Participant 2031,Participant 2031,Wanita,27/04/2006,85000002031,Music - Guitar,Solo (Open Class),Completed,Completed,Completed,Not Completed,Completed,2019,Yes,,,
Participant 2032,Participant 2032,Wanita,28/05/2006,85000002032,Music - Guitar,Yogyakarta (Open Class),Completed,Completed,Completed,Completed,Completed,2019,Yes,,,
Participant 2033,Participant 2033,Pria,17/08/2000,85000002033,Music - Guitar,Solo (Open Class),Completed,Completed,Not Completed,Completed,Completed,2019,No,,,
Participant 2034,Participant 2034,Pria,20/06/1998,85000002034,Vocal - Singer,Solo (Open Class),Completed,Completed,Not Completed,Not Completed,Not Completed,2019,No,,,
Participant 2035,Participant 2035,Pria,07/04/1989,85000002035,Music - Drum,Solo (Open Class),Completed,Completed,Completed,Completed,Not Completed,2019,No,,,
Participant 2036,Participant 2036,Pria,18/07/1998,85000002036,Vocal - Singer,Madiun,Completed,Completed,Completed,Completed,Completed,2019,No,,,
PARTICIPANT 2038,PARTICIPANT 2038,Wanita,23/09/2001,85000002038,Vocal - Lead,Yogyakarta (Open Class),Completed,Completed,Completed,Completed,Completed,2019,Yes,,,
PARTICIPANT 2039,PARTICIPANT 2039,Wanita,12/09/1997,85000002039,Vocal - Lead,Yogyakarta (Open Class),Completed,Completed,Completed,Completed,Not Completed,2019,Yes,,,
PARTICIPANT 2040,PARTICIPANT 2040,Pria,06/04/2001,85000002040,Vocal - Lead,Yogyakarta (Open Class),Completed,Not Completed,Completed,Not Completed,Completed,2019,Yes,,,
PARTICIPANT 2041,PARTICIPANT 2041,Pria,01/07/1997,85000002041,Vocal - Lead,Yogyakarta (Open Class),Not Completed,Completed,Completed,Completed,Not Completed,2019,No,,,
Participant 2042,Participant 2042,Pria,14/07/2005,85000002042,Music - Drum,Solo (Open Class),Completed,Completed,Completed,Completed,Completed,2019,No,,,
Participant 2043,Participant 2043,Wanita,21/09/1977,85000002043,Vocal - Lead,Solo (Open Class),Completed,Completed,Completed,Completed,Completed,2019,No,,,
Participant 2044,Participant 2044,Wanita,21/10/2004,85000002044,Vocal - Singer,Yogyakarta (Open Class),Completed,Completed,Completed,Completed,Not Completed,2019,No,,,
PARTICIPANT 2046,PARTICIPANT 2046,Pria,09/03/1996,85000002046,Music - Drum,Solo (Open Class),Completed,Not Completed,Not Completed,Completed,Completed,2019,Yes,,,
Participant 2047,Participant 2047,Pria,17/01/1998,85000002047,Music - Drum,Jakarta (Open Class),Completed,Completed,Completed,Not Completed,Completed,2019,Yes,,,
Participant 2050,Participant 2050,Wanita,02/05/1979,85000002050,Arts - Movement,Solo (Open Class),Not Completed,Completed,Completed,Not Completed,Completed,2019,Yes,,,
Participant 2051,Participant 2051,Pria,18/06/2006,85000002051,Vocal - Singer,Solo  (Open Class),Completed,Not Completed,Completed,Completed,Completed,2019,No,,,
Participant 2052,Participant 2052,Wanita,09/08/2006,85000002052,Vocal - Singer,Solo  (Open Class),Completed,Completed,Completed,Completed,Not Completed,2019,No,,,
Participant 2053,Participant 2053,Pria,01/07/1998,85000002053,Music - Bass,Tangerang,Completed,Not Completed,Completed,Completed,Completed,2019,No,,,
Participant 2054,Participant 2054,Wanita,14/09/1960,85000002054,Vocal - Lead,Jakarta (Open Class),Completed,Completed,Completed,Completed,Completed,2019,No,,,
PARTICIPANT 2055,PARTICIPANT 2055,Wanita,20/03/1983,85000002055,Vocal - Lead,Solo (Open Class),Completed,Completed,Not Completed,Completed,Completed,2019,Yes,,,
Participant 2992,Participant 2992,Wanita,06/02/1992,85000002992,Arts - Percussion,Yogyakarta,Completed,Completed,Not Completed,Completed,Completed,2019,Yes,,,
PARTICIPANT 2061,PARTICIPANT 2061,Wanita,04/05/1980,85000002061,Audio - Engineer,Solo (Open Class),Not Completed,Completed,Completed,Completed,Completed,2019,Yes,,,
PARTICIPANT 2056,PARTICIPANT 2056,Wanita,10/08/1973,85000002056,Vocal - Singer,Solo (Open Class),Completed,Completed,Completed,Completed,Completed,2019,No,,,
Participant 2984,Participant 2984,Wanita,18/08/1997,85000002984,Vocal - Choir,Yogyakarta,Completed,Not Completed,Completed,Completed,Completed,2019,No,,,
Participant 2057,Participant 2057,Wanita,29/09/1989,85000002057,Vocal - Singer,Solo (Open Class),Completed,Completed,Completed,Completed,Completed,2019,No,,,
Participant 2058,Participant 2058,Wanita,13/02/1978,85000002058,Vocal - Singer,Solo (Open Class),Completed,Completed,Not Completed,Completed,Not Completed,2019,No,,,
Participant 2059,Participant 2059,Wanita,01/01/1995,85000002059,Arts - Percussion,Jakarta (Open Class),Completed,Not Completed,Completed,Completed,Completed,2019,Yes,,,
Participant 2060,Participant 2060,Pria,09/11/1996,85000002060,Arts - Flag,Jakarta (Open Class),Completed,Not Completed,Completed,Not Completed,Completed,2019,Yes,,,
Participant 2994,Participant 2994,Wanita,30/01/1995,85000002994,Vocal - Choir,Yogyakarta,Not Completed,Not Completed,Completed,Completed,Completed,2019,Yes,,,
Participant 2063,Participant 2063,Pria,21/08/2004,85000002063,Audio - Engineer,Solo (Open Class),Not Completed,Completed,Completed,Completed,Completed,2019,No,,,
Participant 2064,Participant 2064,Wanita,24/08/1996,85000002064,Vocal - Singer,Solo (Open Class),Completed,Completed,Completed,Completed,Completed,2019,No,,,
Participant 2065,Participant 2065,Pria,19/10/1998,85000002065,Audio - Engineer,Solo  (Open Class),Not Completed,Completed,Completed,Completed,Completed,2019,No,,,
PARTICIPANT 2066,PARTICIPANT 2066,Pria,07/08/2002,85000002066,Audio - Engineer,Solo (Open Class),Not Completed,Completed,Completed,Completed,Completed,2019,No,,,
Participant 2067,Participant 2067,Pria,18/05/2005,85000002067,Audio - Engineer,Solo (Open Class),Completed,Completed,Completed,Completed,Completed,2019,Yes,,,
Participant 2981,Participant 2981,Wanita,19/08/1993,85000002981,Vocal - Choir,Yogyakarta,Completed,Completed,Completed,Completed,Completed,2019,Yes,,,
Participant 3012,Participant 3012,Pria,15/07/2000,85000003012,Music - Bass,Yogyakarta,Completed,,Completed,Completed,Completed,2019,Yes,,,
Participant 2068,Participant 2068,Pria,22/09/2006,85000002068,Music - Guitar,Solo (Open Class),Completed,Completed,Completed,Not Completed,Completed,2019,No,,,
Participant 2069,Participant 2069,Pria,14/04/2002,85000002069,Audio - Engineer,Solo (Open Class),Completed,Completed,Completed,Completed,Completed,2019,No,,,
Participant 2070,Participant 2070,Pria,14/02/1992,85000002070,Audio - Engineer,Solo (Open Class),Completed,Completed,Completed,Completed,Not Completed,2019,No,,,
Participant 3000,Participant 3000,Wanita,10/03/1999,85000003000,Arts - Percussion,Yogyakarta,Completed,Completed,Completed,Completed,Completed,2019,No,,,
Participant 2071,Participant 2071,Wanita,25/03/2001,85000002071,Vocal - Singer,Sragen,Completed,Not Completed,Completed,Completed,Completed,2019,Yes,,,
Participant 2072,Participant 2072,Pria,31/03/2006,85000002072,Music - Guitar,Solo (Open Class),Not Completed,Completed,Completed,Completed,Completed,2019,Yes,,,
Participant 693,Participant 693,Wanita,12/11/1987,85000000693,Vocal - Singer,Solo,Completed,Not Completed,Completed,Completed,Completed,2019,Yes,,,
Participant 2995,Participant 2995,Pria,26/06/1996,85000002995,Music - Guitar,Yogyakarta,Not Completed,Completed,Not Completed,Completed,Completed,2019,No,,,
Participant 2075,Participant 2075,Wanita,09/11/2005,85000002075,Audio - Engineer,Solo (Open Class),Completed,Completed,Completed,Completed,Completed,2019,No,,,
Participant 2076,Participant 2076,Wanita,28/09/1993,85000002076,Vocal - Lead,Solo (Open Class),Completed,Completed,Completed,Completed,Completed,2019,No,,,
PARTICIPANT 2077,PARTICIPANT 2077,Pria,01/12/1987,85000002077,Music - Bass,Solo (Open Class),Completed,Completed,Completed,Not Completed,Completed,2019,No,,,
Participant 3001,Participant 3001,Wanita,18/08/1996,85000003001,Arts - Movement,Yogyakarta,Completed,Completed,Not Completed,Completed,Completed,2019,Yes,,,
Participant 2078,Participant 2078,Pria,26/06/1999,85000002078,Audio - Engineer,Solo (Open Class),Completed,Completed,Completed,Completed,Completed,2019,Yes,,,
Participant 2985,Participant 2985,Wanita,07/09/1995,85000002985,Vocal - Choir,Yogyakarta,Completed,Completed,Completed,Completed,Completed,2019,Yes,,,
Participant 2081,Participant 2081,Wanita,31/08/1995,85000002081,Vocal - Singer,Jakarta (Open Class),Not Completed,Completed,Completed,Completed,Not Completed,2019,No,,,
Participant 2082,Participant 2082,Pria,17/05/1992,85000002082,Audio - Engineer,Jakarta (Open Class),Completed,Completed,Not Completed,Not Completed,Completed,2019,No,,,
Participant 2084,Participant 2084,Wanita,22/01/2004,85000002084,Audio - Engineer,Solo  (Open Class),Not Completed,Completed,Completed,Completed,Completed,2019,No,,,
Participant 3004,Participant 3004,Pria,12/12/1989,85000003004,Music - Keyboard,Yogyakarta,Completed,Completed,Completed,Completed,Completed,2019,No,,,
Participant 2990,Participant 2990,Wanita,12/02/1997,85000002990,Vocal - Choir,Yogyakarta,Completed,Completed,Completed,Completed,Completed,2019,Yes,,,
Participant 3015,Participant 3015,Pria,11/04/2002,85000003015,Vocal - Choir,Yogyakarta,Completed,,Completed,Completed,Completed,2019,Yes,,,
Participant 3002,Participant 3002,Wanita,20/07/1997,85000003002,Music - Guitar,Yogyakarta,Completed,Completed,Completed,Completed,Not Completed,2019,Yes,,,
Participant 2085,Participant 2085,Pria,06/04/2001,85000002085,Vocal - Lead,Yogyakarta (Open Class),Not Completed,Completed,Completed,Not Completed,Completed,2019,No,,,
Participant 2971,Participant 2971,Pria,06/03/2000,85000002971,Music - Keyboard,Yogyakarta,Completed,Completed,Not Completed,Not Completed,Completed,2019,No,,,
Participant 2999,Participant 2999,Wanita,08/08/2000,85000002999,Arts - Percussion,Yogyakarta,Completed,Completed,Completed,Completed,Completed,2019,No,,,
Participant 2087,Participant 2087,Wanita,31/07/2003,85000002087,Arts - Movement,Yogyakarta (Open Class),Completed,Completed,Completed,Not Completed,Completed,2019,No,,,
Participant 2998,Participant 2998,Wanita,27/12/1996,85000002998,Arts - Percussion,Yogyakarta,Completed,Completed,Completed,Completed,Completed,2019,Yes,,,
Participant 2089,Participant 2089,Wanita,04/03/2004,85000002089,Vocal - Singer,Solo (Open Class),Completed,Completed,Not Completed,Completed,Completed,2019,Yes,,,
Participant 2090,Participant 2090,Wanita,16/07/1998,85000002090,Arts - Percussion,Sragen,Completed,Completed,Completed,Not Completed,Completed,2019,Yes,,,
Participant 2091,Participant 2091,Wanita,17/01/2003,85000002091,Arts - Percussion,Yogyakarta (Open Class),Completed,Completed,Not Completed,Completed,Not Completed,2019,No,,,
Participant 2092,Participant 2092,Wanita,26/01/1992,85000002092,Vocal - Singer,Jakarta (Open Class),Completed,Completed,Completed,Completed,Not Completed,2019,No,,,
Participant 2093,Participant 2093,Pria,12/02/1996,85000002093,Vocal - Singer,Yogyakarta (Open Class),Completed,Completed,Completed,Completed,Completed,2019,No,,,
Participant 2094,Participant 2094,Pria,02/12/1996,85000002094,Vocal - Singer,Yogyakarta (Open Class),Completed,Not Completed,Completed,Completed,Completed,2019,No,,,
participant 2095,participant 2095,Wanita,05/10/2000,85000002095,Vocal - Singer,Solo (Open Class),Completed,Completed,Completed,Completed,Not Completed,2019,Yes,,,
Participant 3011,Participant 3011,Wanita,08/02/1998,85000003011,Vocal - Choir,Yogyakarta,Not Completed,,Completed,Not Completed,Completed,2019,Yes,,,
Participant 2096,Participant 2096,Wanita,12/07/2001,85000002096,Vocal - Singer,Yogyakarta (Open Class),Completed,Completed,Completed,Completed,Completed,2019,Yes,,,
Participant 2098,Participant 2098,Pria,03/04/2006,85000002098,Music - Guitar,Solo (Open Class),Completed,Completed,Completed,Completed,Completed,2019,No,,,
Participant 2982,Participant 2982,Wanita,17/06/1998,85000002982,Arts - Percussion,Yogyakarta,Completed,Completed,Completed,Completed,Completed,2019,No,,,
Participant 2100,Participant 2100,Wanita,29/01/2004,85000002100,Vocal - Singer,Sragen,Completed,Completed,Completed,Completed,Not Completed,2019,No,,,
Participant 2101,Participant 2101,Pria,16/12/2004,85000002101,Audio - Engineer,Solo (Open Class),Completed,Completed,Completed,Completed,Completed,2019,No,,,
Participant 2103,Participant 2103,Wanita,23/09/2001,85000002103,Vocal - Lead,Yogyakarta (Open Class),Completed,Completed,Not Completed,Completed,Completed,2019,Yes,,,
Participant 2104,Participant 2104,Wanita,27/04/2007,85000002104,Arts - Percussion,Yogyakarta (Open Class),Completed,Completed,Completed,Completed,Completed,2019,Yes,,,
Participant 2105,Participant 2105,Wanita,02/09/1999,85000002105,Visual - Makeup,Yogyakarta (Open Class),Completed,Completed,Completed,Completed,Completed,2019,Yes,,,
PARTICIPANT 2107,PARTICIPANT 2107,Pria,03/05/2001,85000002107,Music - Drum,Solo (Open Class),Completed,Completed,Completed,Not Completed,Completed,2019,No,,,
Participant 2108,Participant 2108,Wanita,24/07/2004,85000002108,Audio - Engineer,Solo (Open Class),Completed,Completed,Not Completed,Completed,Completed,2019,No,,,
Participant 2109,Participant 2109,Pria,23/12/2004,85000002109,Vocal - Singer,Solo (Open Class),Completed,Not Completed,Not Completed,Completed,Completed,2019,No,,,
Participant 2111,Participant 2111,Wanita,27/05/2002,85000002111,Vocal - Singer,Yogyakarta (Open Class),Completed,Completed,Completed,Completed,Completed,2019,No,,,
Participant 2112,Participant 2112,Wanita,13/08/2000,85000002112,Vocal - Singer,Solo (Open Class),Completed,Not Completed,Completed,Completed,Completed,2019,Yes,,,
Participant 2113,Participant 2113,Pria,10/12/1980,85000002113,Vocal - Singer,Solo (Open Class),Not Completed,Completed,Completed,Completed,Completed,2019,Yes,,,
