FULL NAME,NICKNAME,GENDER,DATE OF BIRTH,PHONE NUMBER,PROGRAM SELECTED,BRANCH,CHECKLIST A,CHECKLIST B,CHECKLIST C,CHECKLIST D,CHECKLIST E,ADMISSION STATUS,PERUBAHAN,,,
Participant 877,Participant 877,Pria,05/05/1999,85000000877,Music - Drum,Bali,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 894,Participant 894,Pria,03/09/1997,85000000894,Music - Drum,Bali,Yes,Yes,No,No,Yes,Yes,,,,
Participant 914,Participant 914,Pria,19/07/1991,85000000914,Music - Drum,Solo (Open Class),Yes,Yes,Yes,Yes,Yes,No,,,,
Participant 923,Participant 923,Pria,09/07/1997,85000000923,Music - Drum,Jakarta (Open Class),Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 930,Participant 930,Pria,10/09/1994,85000000930,Music - Drum,Yogyakarta (Open Class),Yes,Yes,Yes,Yes,Yes,Yes,,,,
PARTICIPANT 939,PARTICIPANT 939,Pria,18/07/1985,85000000939,Music - Drum,Solo (Open Class),Yes,Yes,Yes,Yes,No,No,,,,
Participant 959,Participant 959,Pria,17/08/2003,85000000959,Music - Drum,Yogyakarta (Open Class),Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 965,Participant 965,Pria,16/04/1991,85000000965,Music - Drum,Bali,Yes,No,Yes,Yes,No,No,,,,
Participant 975,Participant 975,Pria,13/09/1994,85000000975,Music - Drum,Solo (Open Class),Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 995,Participant 995,Pria,10/02/1987,85000000995,Music - Drum,Jakarta (Open Class),Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 1000,Participant 1000,Pria,28/10/1988,85000001000,Music - Drum,Jakarta (Open Class),Yes,Yes,Yes,Yes,Yes,Yes,,,,
PARTICIPANT 1005,PARTICIPANT 1005,Pria,04/08/1988,85000001005,Music - Drum,Solo  (Open Class),Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 1026,Participant 1026,Pria,03/06/2001,85000001026,Music - Drum,Magelang,No,No,Yes,Yes,Yes,No,,,,
Participant 1031,Participant 1031,Pria,04/10/2000,85000001031,Music - Drum,Solo (Open Class),Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 1033,Participant 1033,Pria,05/12/1998,85000001033,Music - Drum,Solo (Open Class),No,No,No,Yes,Yes,Yes,,,,
Participant 1042,Participant 1042,Pria,31/08/1993,85000001042,Music - Drum,Jakarta (Open Class),No,Yes,Yes,Yes,Yes,Yes,,,,
Participant 1058,Participant 1058,Pria,20/03/1997,85000001058,Music - Drum,Jakarta (Open Class),Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 1062,Participant 1062,Pria,15/09/2005,85000001062,Music - Drum,Yogyakarta (Open Class),Yes,Yes,Yes,Yes,No,Yes,,,,
Participant 1095,Participant 1095,Pria,13/01/2004,85000001095,Music - Drum,Yogyakarta (Open Class),Yes,No,No,Yes,Yes,Yes,,,,
Participant 1122,Participant 1122,Pria,23/09/1963,85000001122,Music - Drum,Solo (Open Class),Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 1123,Participant 1123,Pria,22/07/2001,85000001123,Music - Drum,Surabaya,Yes,Yes,No,Yes,Yes,Yes,,,,
Participant 1126,Participant 1126,Pria,22/08/1990,85000001126,Music - Drum,Surabaya,Yes,No,Yes,No,Yes,No,,,,
Participant 1130,Participant 1130,Pria,23/06/1963,85000001130,Music - Drum,Solo (Open Class),No,No,Yes,Yes,Yes,Yes,,,,
Participant 1131,Participant 1131,Pria,05/10/2003,85000001131,Music - Drum,Yogyakarta (Open Class),No,Yes,Yes,Yes,Yes,Yes,,,,
Participant 1143,Participant 1143,Pria,11/03/2003,85000001143,Music - Drum,Yogyakarta (Open Class),Yes,Yes,Yes,No,No,Yes,,,,
Participant 1202,Participant 1202,Pria,12/06/1985,85000001202,Music - Drum,Solo (Open Class),No,Yes,No,Yes,No,Yes,,,,
PARTICIPANT 1208,PARTICIPANT 1208,Pria,20/01/1991,85000001208,Music - Drum,Solo (Open Class),Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 1216,Participant 1216,Pria,12/06/1985,85000001216,Music - Drum,Solo (Open Class),Yes,Yes,Yes,Yes,Yes,No,,,,
Participant 1217,Participant 1217,Pria,24/05/2001,85000001217,Music - Drum,Surabaya,No,Yes,Yes,Yes,No,Yes,,,,
participant 1226,participant 1226,Pria,25/08/1979,85000001226,Music - Drum,Solo (Open Class),Yes,No,Yes,Yes,Yes,Yes,,,,
Participant 1261,Participant 1261,Pria,21/02/1988,85000001261,Music - Drum,Jakarta (Open Class),Yes,Yes,Yes,Yes,No,No,,,,
Participant 2733,Participant 2733,Pria,09/07/1993,85000002733,Music - Drum,Yogyakarta,No,Yes,Yes,Yes,No,Yes,,,,
Participant 2734,Participant 2734,Pria,13/08/1996,85000002734,Music - Drum,Yogyakarta,Yes,Yes,Yes,Yes,Yes,No,,,,
Participant 2760,Participant 2760,Pria,13/08/2000,85000002760,Music - Drum,Yogyakarta,No,Yes,Yes,Yes,Yes,Yes,,,,
Participant 2776,Participant 2776,Wanita,08/01/1998,85000002776,Music - Drum,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 2781,Participant 2781,Pria,21/11/1996,85000002781,Music - Drum,Yogyakarta,Yes,Yes,Yes,Yes,No,Yes,,,,
PARTICIPANT 2804,PARTICIPANT 2804,Pria,02/03/1981,85000002804,Music - Drum,Yogyakarta,No,Yes,Yes,No,Yes,Yes,,,,
PARTICIPANT 2807,PARTICIPANT 2807,Pria,17/08/1999,85000002807,Music - Drum,Yogyakarta,Yes,Yes,Yes,Yes,Yes,No,,,,
Participant 2808,Participant 2808,Wanita,11/07/2002,85000002808,Music - Drum,Yogyakarta,Yes,Yes,Yes,No,Yes,Yes,,,,
Participant 751,Participant 751,Pria,31/07/1993,85000000751,Music - Drum,Solo,Yes,Yes,Yes,Yes,No,Yes,,,,
Participant 2575,Participant 2575,Pria,19/07/2000,85000002575,Music - Guitar,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 2590,Participant 2590,Wanita,02/12/1994,85000002590,Music - Guitar,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 2612,Participant 2612,Pria,06/08/1995,85000002612,Music - Guitar,Yogyakarta,No,No,Yes,Yes,Yes,Yes,,,,
Participant 2636,Participant 2636,Pria,08/09/1996,85000002636,Music - Guitar,Yogyakarta,Yes,No,Yes,Yes,Yes,Yes,,,,
Participant 2655,Participant 2655,Pria,23/10/1998,85000002655,Music - Guitar,Yogyakarta,No,Yes,Yes,Yes,Yes,Yes,,,,
participant 2695,participant 2695,Pria,27/07/2000,85000002695,Music - Guitar,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 2704,Participant 2704,Pria,22/06/1993,85000002704,Music - Guitar,Yogyakarta,No,No,Yes,Yes,Yes,No,,,,
Participant 2717,Participant 2717,Pria,20/08/1994,85000002717,Music - Guitar,Yogyakarta,No,Yes,Yes,Yes,Yes,Yes,,,,
Participant 2720,Participant 2720,Pria,14/02/1997,85000002720,Music - Guitar,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 868,Participant 868,Pria,05/08/1976,85000000868,Music - Guitar,Solo (Open Class),Yes,No,No,Yes,Yes,Yes,,,,
Participant 880,Participant 880,Pria,22/06/1991,85000000880,Music - Guitar,Bali,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 917,Participant 917,Wanita,22/10/1981,85000000917,Music - Guitar,Solo (Open Class),Yes,No,Yes,No,Yes,Yes,,,,
Participant 919,Participant 919,Pria,15/01/1974,85000000919,Music - Guitar,Bali,Yes,No,Yes,Yes,Yes,No,,,,
Participant 921,Participant 921,Pria,03/06/2001,85000000921,Music - Guitar,Solo (Open Class),Yes,No,Yes,Yes,Yes,Yes,,,,
Participant 968,Participant 968,Pria,13/10/1995,85000000968,Music - Guitar,Solo (Open Class),Yes,No,Yes,No,Yes,Yes,,,,
Participant 1009,Participant 1009,Wanita,14/04/1994,85000001009,Music - Guitar,Jakarta (Open Class),Yes,Yes,No,Yes,Yes,No,,,,
Participant 1010,Participant 1010,Pria,22/01/1988,85000001010,Music - Guitar,Surabaya,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 1032,Participant 1032,Pria,26/09/1979,85000001032,Music - Guitar,Solo (Open Class),Yes,Yes,Yes,Yes,Yes,No,,,,
Participant 1047,Participant 1047,Pria,03/04/1982,85000001047,Music - Guitar,Solo (Open Class),Yes,Yes,Yes,No,No,Yes,,,,
Participant 1059,Participant 1059,Pria,14/08/2004,85000001059,Music - Guitar,Yogyakarta (Open Class),No,No,Yes,Yes,Yes,Yes,,,,
Participant 1061,Participant 1061,Pria,08/04/1997,85000001061,Music - Guitar,Surabaya,Yes,Yes,Yes,Yes,No,Yes,,,,
PARTICIPANT 1081,PARTICIPANT 1081,Pria,11/10/1995,85000001081,Music - Guitar,Surabaya,No,Yes,Yes,Yes,Yes,Yes,,,,
Participant 1094,Participant 1094,Pria,11/06/1989,85000001094,Music - Guitar,Jakarta (Open Class),Yes,Yes,Yes,No,No,No,,,,
Participant 1106,Participant 1106,Pria,18/09/2001,85000001106,Music - Guitar,Yogyakarta (Open Class),Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 1125,Participant 1125,Pria,30/06/2005,85000001125,Music - Guitar,Yogyakarta (Open Class),Yes,Yes,No,Yes,Yes,Yes,,,,
Participant 1151,Participant 1151,Pria,01/07/1999,85000001151,Music - Guitar,Surabaya,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 1152,Participant 1152,Pria,06/07/2000,85000001152,Music - Guitar,Surabaya,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 1156,Participant 1156,Pria,04/09/2005,85000001156,Music - Guitar,Solo (Open Class),No,Yes,Yes,No,Yes,Yes,,,,
Participant 1198,Participant 1198,Wanita,30/11/1978,85000001198,Music - Guitar,Solo (Open Class),No,Yes,Yes,Yes,Yes,Yes,,,,
Participant 1207,Participant 1207,Pria,04/09/2005,85000001207,Music - Guitar,Solo (Open Class),Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 1215,Participant 1215,Wanita,11/06/2005,85000001215,Music - Guitar,Solo (Open Class),Yes,No,Yes,Yes,Yes,Yes,,,,
Participant 1221,Participant 1221,Pria,16/05/1989,85000001221,Music - Guitar,Jakarta (Open Class),Yes,Yes,Yes,No,Yes,No,,,,
Participant 1256,Participant 1256,Pria,10/12/1973,85000001256,Music - Guitar,Surabaya,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 1276,Participant 1276,Wanita,27/11/1990,85000001276,Music - Guitar,Semarang,Yes,Yes,Yes,No,Yes,Yes,,,,
Participant 1277,Participant 1277,Pria,23/03/1990,85000001277,Music - Guitar,Semarang,Yes,Yes,Yes,No,No,Yes,,,,
Participant 1281,Participant 1281,Pria,10/09/2003,85000001281,Music - Guitar,Klaten,No,No,Yes,Yes,Yes,Yes,,,,
Participant 2752,Participant 2752,Pria,25/05/2000,85000002752,Music - Guitar,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 2763,Participant 2763,Pria,11/07/1999,85000002763,Music - Guitar,Yogyakarta,No,Yes,No,Yes,Yes,No,,,,
Participant 2778,Participant 2778,Pria,14/04/1979,85000002778,Music - Guitar,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 2796,Participant 2796,Pria,01/06/1997,85000002796,Music - Guitar,Yogyakarta,Yes,Yes,Yes,No,Yes,Yes,,,,
Participant 2810,Participant 2810,Wanita,05/02/2001,85000002810,Music - Guitar,Yogyakarta,Yes,No,Yes,Yes,No,No,,,,
Participant 2811,Participant 2811,Wanita,06/09/1999,85000002811,Music - Guitar,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 2814,Participant 2814,Wanita,07/07/1999,85000002814,Music - Guitar,Yogyakarta,Yes,Yes,No,Yes,No,No,,,,
Participant 2818,Participant 2818,Pria,15/12/1998,85000002818,Music - Guitar,Yogyakarta,Yes,Yes,No,Yes,Yes,Yes,,,,
Participant 1367,Participant 1367,Pria,01/06/2004,85000001367,Music - Guitar,Yogyakarta (Open Class),Yes,Yes,Yes,No,No,Yes,,,,
Participant 36,Participant 36,Wanita,28/04/2001,85000000036,Music - Guitar,Solo ,No,Yes,Yes,Yes,Yes,Yes,,,,
Participant 118,Participant 118,Pria,19/09/2003,85000000118,Music - Keyboard,Klaten,No,Yes,Yes,Yes,Yes,Yes,,,,
Participant 2586,Participant 2586,Pria,31/03/1996,85000002586,Music - Keyboard,Yogyakarta,Yes,No,Yes,Yes,Yes,No,,,,
Participant 2615,Participant 2615,Wanita,16/04/1997,85000002615,Music - Keyboard,Yogyakarta,No,Yes,Yes,Yes,Yes,Yes,,,,
Participant 2617,Participant 2617,Pria,12/02/1996,85000002617,Music - Keyboard,Yogyakarta,Yes,Yes,No,Yes,Yes,Yes,,,,
Participant 2640,Participant 2640,Pria,16/02/1994,85000002640,Music - Keyboard,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 2668,Participant 2668,Pria,15/06/2001,85000002668,Music - Keyboard,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 2676,Participant 2676,Wanita,11/09/1981,85000002676,Music - Keyboard,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 2680,Participant 2680,Pria,24/02/1997,85000002680,Music - Keyboard,Yogyakarta,Yes,Yes,Yes,Yes,No,Yes,,,,
Participant 2689,Participant 2689,Wanita,12/06/1994,85000002689,Music - Keyboard,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 2694,Participant 2694,Pria,21/09/1998,85000002694,Music - Keyboard,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 2696,Participant 2696,Wanita,25/04/1998,85000002696,Music - Keyboard,Yogyakarta,Yes,Yes,Yes,Yes,Yes,No,,,,
Participant 2706,Participant 2706,Pria,10/02/1997,85000002706,Music - Keyboard,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 2709,Participant 2709,Wanita,13/01/1998,85000002709,Music - Keyboard,Yogyakarta,Yes,Yes,Yes,Yes,No,Yes,,,,
PARTICIPANT 2715,PARTICIPANT 2715,Pria,11/04/1996,85000002715,Music - Keyboard,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 2723,Participant 2723,Pria,18/04/1988,85000002723,Music - Keyboard,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
participant 872,participant 872,Pria,25/08/1986,85000000872,Music - Keyboard,Jakarta (Open Class),Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 936,Participant 936,Pria,27/05/1988,85000000936,Music - Keyboard,Bali,Yes,Yes,Yes,No,Yes,No,,,,
Participant 956,Participant 956,Pria,28/02/2001,85000000956,Music - Keyboard,Yogyakarta (Open Class),Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 985,Participant 985,Pria,01/10/1980,85000000985,Music - Keyboard,Solo (Open Class),Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 1007,Participant 1007,Wanita,13/09/1983,85000001007,Music - Keyboard,Surabaya,Yes,Yes,Yes,Yes,Yes,No,,,,
Participant 1015,Participant 1015,Pria,19/08/1990,85000001015,Music - Keyboard,Jakarta (Open Class),Yes,Yes,No,Yes,Yes,Yes,,,,
Participant 1029,Participant 1029,Pria,11/07/1976,85000001029,Music - Keyboard,Solo (Open Class),No,No,Yes,Yes,Yes,No,,,,
Participant 1074,Participant 1074,Pria,17/01/1985,85000001074,Music - Keyboard,Surabaya,Yes,Yes,Yes,No,Yes,Yes,,,,
Participant 1076,Participant 1076,Pria,21/07/1982,85000001076,Music - Keyboard,WoNot Completedsari,Yes,Yes,No,No,Yes,Yes,,,,
Participant 1086,Participant 1086,Wanita,13/06/2003,85000001086,Music - Keyboard,Surabaya,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 1096,Participant 1096,Pria,20/12/2002,85000001096,Music - Keyboard,Yogyakarta (Open Class),Yes,Yes,No,Yes,Yes,Yes,,,,
Participant 1112,Participant 1112,Wanita,03/03/2003,85000001112,Music - Keyboard,Yogyakarta (Open Class),Yes,Yes,Yes,Yes,Yes,No,,,,
Participant 1139,Participant 1139,Wanita,17/09/2004,85000001139,Music - Keyboard,Jakarta (Open Class),Yes,Yes,Yes,No,No,Yes,,,,
Participant 1223,Participant 1223,Wanita,07/08/1999,85000001223,Music - Keyboard,Surabaya,No,Yes,No,Yes,No,Yes,,,,
Participant 1230,Participant 1230,Pria,18/01/1991,85000001230,Music - Keyboard,Semarang,Yes,Yes,Yes,Yes,Yes,Yes,,,,
PARTICIPANT 1233,PARTICIPANT 1233,Pria,18/12/1986,85000001233,Music - Keyboard,Surabaya,No,No,Yes,Yes,Yes,Yes,,,,
Participant 1234,Participant 1234,Wanita,09/07/1975,85000001234,Music - Keyboard,Surabaya,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 1247,Participant 1247,Pria,17/05/2002,85000001247,Music - Keyboard,Semarang,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 1286,Participant 1286,Pria,15/06/1982,85000001286,Music - Keyboard,Semarang,Yes,Yes,Yes,Yes,No,Yes,,,,
Participant 1288,Participant 1288,Pria,20/02/1995,85000001288,Music - Keyboard,Semarang,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 1298,Participant 1298,Pria,18/01/1995,85000001298,Music - Keyboard,WoNot Completedsari,Yes,Yes,Yes,Yes,No,No,,,,
Participant 2727,Participant 2727,Pria,12/02/1953,85000002727,Music - Keyboard,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 2741,Participant 2741,Pria,15/01/1998,85000002741,Music - Keyboard,Yogyakarta,Yes,Yes,Yes,Yes,No,Yes,,,,
Participant 1325,Participant 1325,Pria,31/08/2002,85000001325,Music - Keyboard,Yogyakarta (Open Class),No,Yes,Yes,Yes,Yes,Yes,,,,
Participant 2773,Participant 2773,Wanita,21/06/1995,85000002773,Music - Keyboard,Yogyakarta,Yes,Yes,Yes,No,No,Yes,,,,
Participant 2782,Participant 2782,Pria,07/02/2000,85000002782,Music - Keyboard,Yogyakarta,Yes,Yes,Yes,Yes,No,Yes,,,,
Participant 1345,Participant 1345,Wanita,06/08/2004,85000001345,Music - Keyboard,Nias,Yes,Yes,Yes,Yes,Yes,No,,,,
Participant 361,Participant 361,Wanita,20/01/1958,85000000361,Music - Keyboard,Solo,Yes,Yes,Yes,No,No,Yes,,,,
Participant 909,Participant 909,Wanita,10/03/1959,85000000909,Visual - Makeup,Solo (Open Class),Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 912,Participant 912,Wanita,02/12/1979,85000000912,Visual - Makeup,Bali,Yes,Yes,No,Yes,Yes,No,,,,
Participant 916,Participant 916,Wanita,22/08/1960,85000000916,Visual - Makeup,Bali,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 987,Participant 987,Wanita,16/01/1981,85000000987,Visual - Makeup,Solo (Open Class),Yes,Yes,No,Yes,Yes,No,,,,
Participant 1002,Participant 1002,Wanita,26/03/2003,85000001002,Visual - Makeup,Solo (Open Class),Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 1006,Participant 1006,Wanita,22/12/1989,85000001006,Visual - Makeup,Solo  (Open Class),Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 1016,Participant 1016,Wanita,26/01/1977,85000001016,Visual - Makeup,Solo (Open Class),Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 1022,Participant 1022,Pria,05/05/1989,85000001022,Visual - Makeup,Solo (Open Class),No,Yes,No,Yes,Yes,Yes,,,,
Participant 1127,Participant 1127,Wanita,18/02/2002,85000001127,Visual - Makeup,Surabaya,Yes,Yes,Yes,Yes,Yes,No,,,,
Participant 1170,Participant 1170,Wanita,18/07/1990,85000001170,Visual - Makeup,Yogyakarta (Open Class),Yes,Yes,Yes,Yes,No,Yes,,,,
PARTICIPANT 1178,PARTICIPANT 1178,Wanita,28/10/1994,85000001178,Visual - Makeup,Jakarta (Open Class),Yes,No,Yes,Yes,Yes,Yes,,,,
Participant 1184,Participant 1184,Wanita,02/01/2001,85000001184,Visual - Makeup,Tangerang,Yes,No,Yes,Yes,Yes,Yes,,,,
Participant 1190,Participant 1190,Wanita,14/08/1987,85000001190,Visual - Makeup,Solo (Open Class),Yes,Yes,Yes,Yes,No,Yes,,,,
PARTICIPANT 1211,PARTICIPANT 1211,Wanita,24/12/2005,85000001211,Visual - Makeup,Solo (Open Class),Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 1227,Participant 1227,Wanita,14/05/1988,85000001227,Visual - Makeup,Solo (Open Class),Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 1235,Participant 1235,Wanita,05/12/1994,85000001235,Visual - Makeup,Solo (Open Class),Yes,No,Yes,Yes,Yes,Yes,,,,
Participant 1249,Participant 1249,Wanita,01/07/1995,85000001249,Visual - Makeup,Surabaya,No,Yes,Yes,No,Yes,Yes,,,,
Participant 1267,Participant 1267,Wanita,11/06/1988,85000001267,Visual - Makeup,Yogyakarta (Open Class),Yes,Yes,Yes,No,Yes,No,,,,
Participant 1271,Participant 1271,Wanita,10/06/1998,85000001271,Visual - Makeup,Yogyakarta (Open Class),Yes,Yes,No,No,Yes,Yes,,,,
Participant 1315,Participant 1315,Wanita,02/03/1986,85000001315,Visual - Makeup,Nias,No,Yes,Yes,Yes,Yes,Yes,,,,
Participant 1344,Participant 1344,Wanita,15/10/1997,85000001344,Visual - Makeup,Nias,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 648,Participant 648,Wanita,13/05/1981,85000000648,Visual - Makeup,Solo,Yes,Yes,No,Yes,Yes,Yes,,,,
Participant 2562,Participant 2562,Wanita,02/12/1991,85000002562,Vocal - Lead,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 2565,Participant 2565,Pria,09/08/1990,85000002565,Vocal - Lead,Yogyakarta,No,Yes,Yes,Yes,Yes,No,,,,
Participant 2567,Participant 2567,Wanita,10/07/1998,85000002567,Vocal - Lead,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 2592,Participant 2592,Wanita,26/01/1995,85000002592,Vocal - Lead,Yogyakarta,Yes,Yes,Yes,Yes,No,Yes,,,,
Participant 2621,Participant 2621,Wanita,05/02/1990,85000002621,Vocal - Lead,Yogyakarta,No,Yes,Yes,No,Yes,No,,,,
Participant 2623,Participant 2623,Wanita,22/10/1973,85000002623,Vocal - Lead,Yogyakarta,Yes,No,Yes,No,Yes,Yes,,,,
Participant 2626,Participant 2626,Wanita,31/07/1981,85000002626,Vocal - Lead,Yogyakarta,Yes,Yes,Yes,Yes,Yes,No,,,,
Participant 2628,Participant 2628,Wanita,20/08/2001,85000002628,Vocal - Lead,Yogyakarta,Yes,Yes,Yes,No,Yes,Yes,,,,
Participant 2635,Participant 2635,Wanita,06/11/1989,85000002635,Vocal - Lead,Yogyakarta,Yes,Yes,No,No,Yes,Yes,,,,
Participant 2643,Participant 2643,Wanita,04/02/1960,85000002643,Vocal - Lead,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 2656,Participant 2656,Wanita,25/11/1990,85000002656,Vocal - Lead,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
participant 2658,participant 2658,Wanita,10/07/1975,85000002658,Vocal - Lead,Yogyakarta,Yes,Yes,Yes,Yes,Yes,No,,,,
PARTICIPANT 2667,PARTICIPANT 2667,Wanita,16/01/1985,85000002667,Vocal - Lead,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 2670,Participant 2670,Wanita,07/10/1993,85000002670,Vocal - Lead,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 2672,Participant 2672,Wanita,13/04/1978,85000002672,Vocal - Lead,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 2674,Participant 2674,Wanita,25/06/1967,85000002674,Vocal - Lead,Yogyakarta,Yes,Yes,Yes,No,Yes,Yes,,,,
Participant 2679,Participant 2679,Wanita,05/06/1997,85000002679,Vocal - Lead,Yogyakarta,Yes,Yes,Yes,No,Yes,Yes,,,,
participant 2682,participant 2682,Wanita,05/01/1995,85000002682,Vocal - Lead,Yogyakarta,No,Yes,No,Yes,Yes,Yes,,,,
Participant 2683,Participant 2683,Wanita,31/03/1977,85000002683,Vocal - Lead,Yogyakarta,Yes,Yes,No,Yes,Yes,Yes,,,,
Participant 2684,Participant 2684,Wanita,16/06/1996,85000002684,Vocal - Lead,Yogyakarta,Yes,Yes,Yes,Yes,No,Yes,,,,
Participant 2685,Participant 2685,Pria,26/06/1997,85000002685,Vocal - Lead,Yogyakarta,Yes,Yes,Yes,Yes,Yes,No,,,,
Participant 2687,Participant 2687,Wanita,13/02/1987,85000002687,Vocal - Lead,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
PARTICIPANT 2697,PARTICIPANT 2697,Pria,17/01/1996,85000002697,Vocal - Lead,Yogyakarta,Yes,Yes,Yes,No,No,Yes,,,,
PARTICIPANT 2698,PARTICIPANT 2698,Wanita,18/12/1973,85000002698,Vocal - Lead,Yogyakarta,Yes,No,Yes,Yes,No,Yes,,,,
Participant 2713,Participant 2713,Wanita,01/07/1955,85000002713,Vocal - Lead,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
PARTICIPANT 944,PARTICIPANT 944,Wanita,19/05/1975,85000000944,Vocal - Lead,Bali,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 1011,Participant 1011,Wanita,10/07/1983,85000001011,Vocal - Lead,Solo (Open Class),Yes,Yes,Yes,Yes,Yes,No,,,,
PARTICIPANT 1014,PARTICIPANT 1014,Wanita,30/05/1999,85000001014,Vocal - Lead,Solo (Open Class),No,Yes,Yes,Yes,Yes,Yes,,,,
Participant 1023,Participant 1023,Wanita,21/10/1984,85000001023,Vocal - Lead,Solo (Open Class),Yes,Yes,Yes,Yes,No,Yes,,,,
Participant 1052,Participant 1052,Wanita,21/05/1994,85000001052,Vocal - Lead,Madiun,Yes,No,Yes,Yes,Yes,No,,,,
Participant 1071,Participant 1071,Wanita,22/03/1986,85000001071,Vocal - Lead,Solo (Open Class),Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 1072,Participant 1072,Wanita,16/07/1969,85000001072,Vocal - Lead,Solo (Open Class),Yes,Yes,Yes,No,Yes,No,,,,
Participant 1017,Participant 1017,Wanita,06/11/1994,85000001017,Vocal - Lead,Yogyakarta (Open Class),Yes,Yes,Yes,No,Yes,Yes,,,,
Participant 1161,Participant 1161,Pria,17/09/1991,85000001161,Vocal - Lead,Jakarta (Open Class),Yes,Yes,Yes,No,Yes,Yes,,,,
Participant 1200,Participant 1200,Wanita,13/06/1976,85000001200,Vocal - Lead,Solo (Open Class),Yes,Yes,Yes,No,No,Yes,,,,
Participant 1214,Participant 1214,Wanita,19/03/1977,85000001214,Vocal - Lead,Yogyakarta (Open Class),Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 1275,Participant 1275,Wanita,22/02/1980,85000001275,Vocal - Lead,Semarang,Yes,Yes,Yes,Yes,Yes,No,,,,
Participant 1316,Participant 1316,Wanita,23/07/1984,85000001316,Vocal - Lead,Nias,Yes,Yes,Yes,Yes,Yes,Yes,,,,
